stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,20.52,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,35.45,0.81,0,0,0,0.81,0.81,0,1.61,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,49.92,0,0,0,0,2.87,1.15,0,2.87,0,0,0.57,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0.98,0.98,0.98,0,63.8,0,0,0,0,0.98,0.98,0,3.93,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,98.17,0,0,0,0,3.93,0.98,0.98,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,101.96,1.06,1.06,0,1.06,2.12,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,0,0,136.61,0,0,1.09,0,3.28,0,0,1.09,0,0,2.19,0,0,1.09,0,1.09
108-118,0,1.53,0.77,0.77,2.3,0,0,0,0,108.77,0,0.77,0,0.77,4.6,0.77,0,3.83,3.83,0.77,0,0,0,0,0.77,0.77
120,0,1.96,1.96,0,0,0,0,0,0,107.79,0,0,0,0,3.92,0,0,3.92,1.96,0,0,0,0,0,0,0
