stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,5363.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1262.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,89.38,0,0,0,34.17,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,28.32,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,16,2,0,5,0,0,5,0,0,0,0,1,0,0,0,2,0,0,2,50,0,0,1,0,0,0,0,4,1,0,2,25,0,0,0,0,0
 24-34,0,0,4.1,9.03,0,0,14.78,1.64,0.82,0.82,0,0,0.82,3.28,0,0,0,0,9.85,0,0,2.46,85.37,0,0,2.46,0,0,5.75,0,0,0.82,0,0,32.01,0,0,1.64,0,0
 36-46,0,0,0,4.03,0,0,3.22,0,0,0,0.81,0,0,8.86,0,0,0,0.81,4.03,0,0,1.61,41.89,0,0.81,1.61,0,0,4.03,0,0,3.22,0,0,16.11,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,8.61,1.15,0,3.44,0,0,0,10.9,0.57,0,0,0.57,1.15,0,0,0.57,17.79,0,0,0.57,0,0,2.3,0,0,0.57,0,0,12.62,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,38.28,0.98,0,13.74,0,0,0.98,12.76,0,0.98,0,0,4.91,0,0,1.96,58.89,0,0,0,0,0,0,0,0,0,0.98,0,3.93,0,0.98,1.96,0,0
 72-82,0,0,0,1.96,0,0,68.72,0,0,4.91,2.94,0,0,32.39,0,0.98,0.98,0,8.83,0,0,0,19.63,0,0,0.98,0,0,0,0,0,0,0,0,3.93,0.98,0,0,0.98,0.98
 84-94,0,0,0,7.43,0,0,56.29,1.06,0,1.06,2.12,0,0,39.3,0,0,1.06,1.06,8.5,1.06,1.06,1.06,15.93,1.06,0,2.12,0,0,2.12,0,0,2.12,0,0,3.19,1.06,0,2.12,0,0
 96-106,0,0,0,5.46,3.28,0,100.54,1.09,0,3.28,3.28,0,0,72.13,0,0,0,0,8.74,1.09,0,0,9.84,1.09,1.09,1.09,0,1.09,6.56,0,0,2.19,0,0,2.19,0,0,2.19,0,0
108-118,0,0,0,3.83,2.3,2.3,60.51,1.53,0.77,5.36,3.83,0,0,50.55,1.53,0.77,0.77,1.53,2.3,0.77,0.77,0.77,26.81,0.77,0,3.06,0,0.77,3.83,0,0,2.3,0,0,0,0,0,0.77,0,0
120,0,0,0,7.84,3.92,0,92.11,0,0,0,7.84,0,0,48.99,1.96,1.96,0,0,3.92,0,0,1.96,5.88,0,0,3.92,0,0,0,0,0,1.96,0,0,1.96,0,0,5.88,0,0
