stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.94,0,1.96,0,0,0
 72-82,0.98,0,0.98,0.98,0,1.96,0,0,0,0,0.98,0.98,0,0,0,0,0
 84-94,2.12,2.12,0,1.06,0,2.12,0,2.12,1.06,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,2.19,7.65,0,3.28,0,1.09,0,0,0,1.09,0,1.09,1.09
108-118,1.53,0,0,1.53,0,4.6,1.53,1.53,0,0,0,0,0.77,0.77,0,1.53,0
120,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0
