stage,epidermis,erythrocytes,eye,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0
 24-34,0.82,0,0.82,0,0,0,0.82,0,0.82,9.85,0,0,2.46,1.64,0
 36-46,0,0,1.61,0.81,0,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,1.15,1.15,0,0,0.57,0,0,5.74,0,0,0.57,0.57,0.57
 60-70,0,0,2.94,0.98,0.98,0.98,1.96,0,0,9.82,0,0,1.96,0,0
 72-82,0,0,2.94,0,0,0,0.98,0,0,8.83,0,0,0,0,0
 84-94,0,1.06,6.37,1.06,0,0,1.06,0,0,4.25,1.06,0,1.06,1.06,0
 96-106,0,0,0,0,0,0,2.19,0,0,2.19,0,0,0,0,0
108-118,0,0,2.3,0.77,0,0,0.77,0.77,0.77,2.3,0,0,0,0,0
120,0,0,0,5.88,0,0,0,0,1.96,5.88,0,0,0,0,0
