stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,478.43,0,0,0,0,0,0,0,0,0,0,0,15.77,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,22.03,0,3.15,18.88,0,0,0,0,0,553.87,0,0,0,0,0,0,0,0,0,0,0,607.37,3.15,0,0,229.73,0,0,0,3.15,37.76,0,6.29,6.29,0,0,0,0
 14-21,1,1,5,19,246,56,88,0,3,0,31,11,247,4,2,8,0,0,6,3,94,0,0,69,1204,52,10,20,30,0,48,1,170,10,23,228,374,0,25,0,2
 24-34,0,0,2.46,7.39,120.67,16.42,163.35,1.64,6.57,4.93,39.4,4.93,77.16,4.1,7.39,13.95,0.82,3.28,12.31,5.75,156.78,7.39,0.82,80.44,1775.51,19.7,15.6,18.88,0,0.82,94.4,0,2.46,12.31,13.13,41.86,357.07,0,60.74,0,10.67
 36-46,0,0,0,0,8.06,0,37.87,0,0,0,3.22,1.61,24.98,3.22,2.42,2.42,0.81,2.42,1.61,1.61,28.2,0.81,0,8.06,265.07,3.22,1.61,3.22,0,0,25.78,0,0,0,0,0,37.87,0,7.25,0,4.03
 48-58,0,0,0,0.57,1.15,0,9.18,0,0,0.57,1.15,0,45.9,0,0,0,0,0.57,0,0.57,2.87,0.57,0,0.57,36.15,0,0,0,0,0,2.87,0,0,0,0,0,7.46,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,6.87,0,0,0,0.98,0.98,23.56,0,0,0,0,0,0,0,2.94,0,0.98,0,15.7,0,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,0,0,0,0,0.98,0,13.74,0,0,0,0,0,0.98,0,0.98,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,2.12,0,0,0,0,0,18.05,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,3.28,0,0,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,4.37,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,0.77,0.77,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
