stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,5,0,0,0,0,0,1,66,0,0,0,0,0
 24-34,0,2.46,0,1.64,0,10.67,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,1.64,453.93,0,20.52,0,0,0,0,0,0,134.62,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,77.34,0,0,11.28,0.81,0,0,0,0,0,0,0.81,2.42,0,0,0.81,1328.55,0,21.75,0,0,0,1.61,0,0,276.34,0,0,0.81,0,0.81
 48-58,0,0,0,2.3,0,241,1.15,0,31.56,0,0,0,0,0,0,0,1.15,9.75,0,0.57,1.72,1182.04,0.57,13.2,2.3,0,0,1.72,0,0,230.67,0,0,0.57,0,3.44
 60-70,0,0,0,2.94,0,517.26,0.98,0.98,29.45,0,0,0,0,0,0.98,0.98,0,9.82,0,0,0.98,1456.58,0,17.67,3.93,0,0,0.98,0,0,216.92,0,0,0,0,0
 72-82,0,0.98,0,7.85,2.94,535.99,0,0.98,48.1,0.98,0,0.98,0,0,0,1.96,0,17.67,0,0.98,0.98,1154.43,0,24.54,2.94,0,0.98,0.98,0,0,104.06,0,0.98,2.94,0.98,0.98
 84-94,0,1.06,0,9.56,1.06,292.06,0,1.06,37.17,2.12,0,0,1.06,1.06,3.19,0,0,16.99,0,1.06,0,608.55,0,7.43,8.5,0,0,3.19,0,0,59.47,1.06,0,1.06,1.06,0
 96-106,0,3.28,0,10.93,0,262.28,0,0,37.16,2.19,0,1.09,0,0,2.19,3.28,0,15.3,1.09,1.09,0,485.22,0,22.95,6.56,0,0,2.19,0,0,24.04,0,0,5.46,0,1.09
108-118,0,2.3,0.77,9.96,0.77,202.21,0,0.77,29.87,2.3,0,0,0,0,2.3,0,1.53,16.85,0.77,0.77,0.77,545.37,0.77,18.38,7.66,0,0,0.77,0.77,0,22.98,2.3,0,0,1.53,0.77
120,0,0,0,3.92,1.96,174.42,0,0,47.03,0,0,1.96,1.96,0,0,0,0,7.84,0,0,0,591.86,5.88,11.76,5.88,0,0,0,0,0,27.44,0,0,0,1.96,3.92
