stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,16,0,0,0,0,2,7,1,6,0,1,0,0
 24-34,0,4.1,0,0,2.46,0,0,0,0,0.82,0.82,0,0,0,0.82,0,5.75,0,0,4.93,44.33,3.28,0,0,0,4.1,0,1.64,11.49,0,1.64,0,0
 36-46,0,0,0,0,3.22,0.81,0,0.81,4.03,0,0,0,0,0.81,0,0,5.64,0,0,2.42,29,0,0,0,0,1.61,0,0,9.67,0,0.81,0,0.81
 48-58,0,2.3,0,0,5.74,0,0,0.57,6.89,0,0,0,0,0.57,0.57,0,6.31,0.57,0,0.57,34.43,0,1.15,0.57,0,1.15,0,0,6.31,0,0,0,0.57
 60-70,0,2.94,0.98,0,24.54,0.98,1.96,0,6.87,0,0,0.98,0,0,0.98,0,10.8,0,0,1.96,77.54,0,0,0.98,0,4.91,0,0,6.87,0.98,0,0,0
 72-82,0,0.98,0,1.96,8.83,0,0,0.98,17.67,0,0.98,1.96,0,1.96,0,0,20.61,0,1.96,1.96,35.34,0,0,1.96,0,2.94,0,0,1.96,0.98,0.98,0,0
 84-94,0,2.12,0,0,12.74,0,2.12,0,2.12,1.06,1.06,4.25,0,0,0,1.06,9.56,0,0,1.06,19.12,0,1.06,0,0,8.5,0,0,2.12,0,0,0,0
 96-106,0,2.19,2.19,2.19,7.65,0,0,2.19,4.37,2.19,0,8.74,3.28,1.09,3.28,1.09,4.37,0,0,1.09,19.67,0,1.09,2.19,1.09,5.46,0,0,1.09,0,0,1.09,0
108-118,0.77,0,0,3.06,7.66,0,0,0.77,1.53,1.53,0,2.3,0.77,0.77,0,0.77,4.6,0,0,1.53,16.85,0.77,0.77,0.77,0,9.19,0,0,0,0,0.77,0,0
120,0,5.88,0,3.92,9.8,0,1.96,1.96,3.92,1.96,0,5.88,0,0,0,0,3.92,0,0,1.96,7.84,0,1.96,0,0,7.84,0,0,3.92,0,0,0,0
