stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,5.26,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,123.55,21.03,0,0,307.56,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,78.67,0,182.52,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,1261.93,138.47,0,0,4629.19,0,3.15,44.06,320.99,0,47.2,22.03,0,0,0,0
 14-21,1,4,0,20,120,126,2,0,1,0,82,52,3,0,0,1,0,2,0,176,0,0,172,298,98,0,2,264,0,12,1666,14,81,1630,1490,0,1,0,1
 24-34,0,0,0,6.57,12.31,7.39,0.82,2.46,1.64,1.64,58.28,6.57,0,0,0,0,0,0,4.1,77.16,0,0,59.1,62.39,5.75,0.82,0,0,0,9.85,4.1,0,9.03,109.99,328.34,0,8.21,0,1.64
 36-46,0,0,0,0,0.81,0,0.81,0.81,0.81,0,4.03,0,0,0,0,0,0,0,0,10.47,0,0,7.25,12.09,0.81,0,0,0,0,3.22,0,1.61,0.81,0,66.06,0,2.42,0,0
 48-58,0,0,0.57,0,0.57,0,0,1.15,0,0.57,2.3,0,0,0,0,0,0,0,0,4.59,0,0.57,1.72,13.77,0.57,0,0,0,0,0,0,0,0.57,0,40.17,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,1.96,0,0,1.96,0,0,0,0,0,0.98,0,0,5.89,0,1.96,3.93,5.89,0,0,0,0,0.98,0,0,0.98,1.96,0,9.82,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,11.78,1.96,0,0,0.98,0,0,0,0,2.94,0,0,2.94,7.85,0.98,0,0,0,0,0,0,0.98,1.96,0,3.93,0,0,1.96,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,9.56,5.31,0,0,0,0,0,0,0,2.12,0,0,0,6.37,0,0,0,0,0,0,0,2.12,1.06,0,2.12,1.06,0,0,1.06
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,0,5.46,2.19,0,0,4.37,0,0,0,1.09,1.09,1.09,0,3.28,3.28,0,0,1.09,0,0,0,0,2.19,1.09,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,8.43,0.77,0,0.77,4.6,0,0,0,0,3.83,0,0.77,0.77,4.6,0,0,0,0,0,0,0,0.77,6.89,0,0.77,0,0,1.53,0
120,0,0,0,0,0,0,1.96,1.96,0,1.96,7.84,5.88,0,1.96,11.76,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
