stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,9.44,0,6.29,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,15,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,20,0,0,33,22,6,2,4,1,0,46,0,1,7,2,6,31,0,0,4,0,0
 24-34,0,0,0,1.64,8.21,0,0,23.8,0,0,0,5.75,0.82,0,0.82,0,6.57,0,2.46,0.82,94.4,4.93,0,82.91,136.26,31.19,18.06,4.93,0,0,150.22,0,0,3.28,0.82,4.1,36.94,0,0,15.6,0,0
 36-46,0,0,0,0,4.03,0,0,111.18,0,1.61,4.03,24.17,0.81,0,3.22,0.81,3.22,0,3.22,0,161.94,4.83,0,43.51,385.92,38.67,19.34,3.22,0,0,153.88,0,0,3.22,0,0,91.04,0,0,6.45,0,0
 48-58,0,0,0,0,4.59,1.15,0,131.98,0,1.15,2.87,40.74,1.15,1.15,3.44,0,3.44,0,1.72,0,191.65,5.74,1.15,30.41,226.08,25.82,9.18,2.3,0,0,152.06,0,0,1.15,0,0,67.71,0,1.72,13.77,0,1.15
 60-70,0,0,0.98,0,8.83,0,0,242.44,0,0.98,4.91,55.95,2.94,1.96,2.94,0,4.91,0,7.85,4.91,339.61,5.89,2.94,18.65,133.49,25.52,13.74,10.8,0,1.96,184.53,0,0,1.96,0.98,0,53.98,3.93,13.74,16.69,2.94,0
 72-82,0,0,0.98,0,16.69,1.96,0.98,171.79,0.98,4.91,5.89,50.06,4.91,0,6.87,0,7.85,0,10.8,1.96,372.05,9.82,9.82,16.69,134.49,13.74,18.65,7.85,0,0,203.2,0,0,2.94,0.98,0,17.67,10.8,12.76,44.17,8.83,0.98
 84-94,0,0,2.12,1.06,40.36,0,3.19,133.82,0,12.74,4.25,25.49,21.24,1.06,2.12,2.12,11.68,1.06,10.62,5.31,262.32,7.43,4.25,7.43,70.09,27.61,13.81,11.68,0,0,674.39,0,0,2.12,0,0,15.93,24.43,11.68,28.68,11.68,0
 96-106,0,0,8.74,0,60.11,2.19,0,76.5,0,15.3,5.46,48.09,22.95,0,10.93,2.19,22.95,0,12.02,5.46,174.86,14.21,3.28,10.93,73.22,19.67,34.97,14.21,0,2.19,563.91,0,0,2.19,0,0,5.46,42.62,13.11,42.62,7.65,1.09
108-118,0,0,6.13,0,59.75,1.53,6.13,82.72,0.77,16.09,3.06,39.83,19.92,0,3.06,0,17.62,2.3,7.66,13.02,121.02,14.55,4.6,4.6,81.19,26.81,11.49,3.83,0,3.83,380.68,0,0,1.53,0,0,4.6,37.53,14.55,29.87,6.89,1.53
120,0,0,3.92,0,29.4,0,3.92,50.95,1.96,1.96,0,29.4,7.84,0,1.96,0,9.8,0,5.88,9.8,78.39,5.88,0,1.96,52.91,11.76,17.64,1.96,0,1.96,219.5,0,0,3.92,0,0,5.88,19.6,3.92,21.56,3.92,3.92
