stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,mucous,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,taste,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0.98,3.93,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,4.25,3.19,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,18.58,12.02,0,1.09,1.09,0,1.09,1.09,0,2.19,0,3.28,0,0,0,1.09,0
108-118,6.89,9.19,0.77,0.77,1.53,0,0,0,0,0.77,0,1.53,0,0,0,0,0.77
120,11.76,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
