stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,81,0,0,0,0,3,0,5,62,0,0,0,0,0
 24-34,0,0.82,0.82,1.64,0,3.28,0.82,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0.82,490.87,0,12.31,0,1.64,0,0,0.82,157.6,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,105.54,0,0.81,1.61,0,0.81,0,0,0,0,0.81,0,2.42,0,0,0.81,1225.42,0,17.72,0,1.61,0,0,0,260.23,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,241,0,0.57,7.46,0,0.57,0,0,0,0.57,0.57,0.57,6.31,0,0.57,1.15,1483.86,0,11.48,0.57,1.15,0,0,0,269.69,0,0,0.57,0,0.57
 60-70,0,1.96,0,0,0,516.28,0.98,0,11.78,0,0,0,0,0,0,0,0,7.85,0,0,0,1545.9,0,10.8,0,2.94,0,0.98,0,211.03,0,0,1.96,0,0
 72-82,0,0.98,0,10.8,0,580.16,0,0.98,24.54,0,0,0.98,0,0.98,0,0.98,0,21.6,0,0,0.98,1434.21,0,23.56,1.96,1.96,0,0,0,105.04,0,0,0,0.98,0
 84-94,0,0,0,4.25,0,352.6,1.06,3.19,31.86,0,0,0,0,1.06,0,3.19,0,11.68,0,2.12,1.06,783.78,1.06,13.81,1.06,2.12,0,0,0,56.29,0,1.06,3.19,0,0
 96-106,0,0,0,14.21,1.09,285.23,1.09,1.09,27.32,1.09,1.09,2.19,1.09,1.09,0,1.09,0,12.02,1.09,2.19,3.28,687.4,0,31.69,4.37,6.56,0,0,0,26.23,1.09,1.09,2.19,0,0
108-118,0,0,0,14.55,0.77,221.36,1.53,0.77,14.55,0,0,0.77,0.77,0,0.77,4.6,0,6.13,0.77,0,0.77,786.64,0.77,16.85,1.53,4.6,0,0,0,16.09,0,0.77,0,0,0.77
120,0,0,0,7.84,0,141.1,1.96,0,19.6,0,0,0,0,0,0,5.88,0,1.96,0,0,0,493.87,0,13.72,0,1.96,0,0,0,3.92,0,0,1.96,0,1.96
