stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,32,0
 24-34,0,0,0,21.34,0,0,0,0,0,1.64,0.82,76.34,0,0,0,40.22,0
 36-46,0,0,0,66.87,0,0,0.81,0,0,0.81,0,42.7,0,0.81,0,24.17,0
 48-58,0,0,0,81.48,1.15,0,0,0,0,1.72,0.57,22.38,0,0,0,9.18,0
 60-70,0,0,0,68.71,0,0,0,0,0,0,0,19.63,0,0,0,4.91,0
 72-82,0,0,0.98,35.34,0,0,0,0,0,0.98,0.98,22.58,0,0.98,0,1.96,0
 84-94,0,0,0,37.17,1.06,0,0,0,1.06,2.12,0,11.68,0,0,0,0,0
 96-106,0,0,0,20.76,0,0,0,1.09,0,1.09,3.28,6.56,0,0,0,0,0
108-118,0,0,0.77,29.11,0.77,0.77,0,0,0,0,0.77,16.09,0,0,0.77,0,0.77
120,0,1.96,1.96,48.99,3.92,1.96,0,0,0,1.96,7.84,25.48,0,0,0,3.92,0
