stage,blastomeres,epidermis,fin_epithelia,glial,immune,ionocyte,mesenchyme,neural,periderm,slow_muscle,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,0
 24-34,0,1.64,0,0.82,0,0,0,0.82,0,0,1.64
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0.57,0,0,0.57,0,0,1.72,0,0,0
 60-70,0,3.93,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,2.94,0.98,0.98,0,0,0.98,1.96,0,0,0
 84-94,0,8.5,2.12,0,0,0,0,0,0,0,0
 96-106,0,7.65,3.28,0,0,0,0,0,0,0,0
108-118,0,16.85,0.77,0.77,0,0.77,0.77,1.53,0,0,0
120,0,39.2,1.96,0,1.96,0,0,3.92,1.96,0,0
