stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,2,0,1,2,5,0,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,4.93,0,1.64,35.3,0,0,0,0,0,0,0,0.82,0,0.82,9.03,0,0,0,0.82
 36-46,0,0,0,0,0,8.06,0,0,0.81,0,0,0,0,0,0,0,4.03,0,1.61,29.81,0,0.81,0,0,0,0.81,0,0,0,0,7.25,0,1.61,0,0
 48-58,0,0,0,0,0,9.75,0,0,1.72,0,0.57,0,0,0,0,0,4.59,1.15,0,32.71,0.57,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0
 60-70,0,0,0,0,0,16.69,0,0,0.98,0,0,0,0,0,0,0,9.82,0,0.98,40.24,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0.98,0,0,18.65,0,0.98,1.96,0,0,0,0,0.98,0,0,9.82,0.98,1.96,35.34,0,0,0.98,0,0,0,0,0,0,0,4.91,0.98,0.98,0,0.98
 84-94,0,0,3.19,1.06,0,11.68,0,1.06,5.31,0,0,1.06,0,0,0,0,4.25,0,2.12,18.05,0,1.06,0,0,2.12,0,0,0,0,0,5.31,0,0,0,0
 96-106,0,0,0,3.28,0,10.93,1.09,0,2.19,0,0,0,0,0,0,1.09,5.46,0,1.09,8.74,1.09,0,3.28,0,2.19,0,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,3.83,0,0.77,3.83,0,0,5.36,0,0.77,0.77,0.77,0,0.77,0,7.66,0.77,0,16.09,0,0,0.77,0,0,0,0,0,0,0,0.77,0,1.53,0,0
120,0,0,1.96,0,0,5.88,1.96,0,3.92,0,0,0,0,0,0,0,7.84,1.96,1.96,9.8,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
