stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,47,0,0,31,18,0,0,0,0,0,0,0,0,1,2,0,0,9,0,0
 24-34,0,0,0,0.82,6.57,2.46,1.64,0,0,4.93,0,0,0,9.03,0,0.82,0,0,0.82,0,269.24,0,0,77.98,52.53,2.46,0,0,0,0,0.82,0,0.82,2.46,3.28,0,0,70.59,0,0
 36-46,0,0,0,0,3.22,0.81,6.45,0,0.81,13.7,6.45,0,0,11.28,0,0,0,0,0,0.81,373.02,0,7.25,83.79,49.95,0,0,0,0,0,0,0,0,0,2.42,0,0.81,53.98,0,0.81
 48-58,0,0,0,0,1.15,1.15,9.75,0,1.15,23.53,9.75,0,0.57,7.46,0,0,0.57,0,0,0,391.33,0,6.89,59.1,32.71,0.57,0,0,0,0.57,0,1.15,0,0,6.31,0,1.72,51.64,0,0
 60-70,0,0,0,0,2.94,0.98,12.76,0.98,1.96,13.74,6.87,0,0,4.91,0.98,0,0,0,0.98,0,526.1,0,9.82,53.98,24.54,1.96,0.98,0,0,5.89,1.96,0,0,0,2.94,0,10.8,61.84,0.98,0
 72-82,0,0,0,0,4.91,0.98,26.5,0,0,37.3,11.78,0.98,0,10.8,0,0,0,0.98,0,0,738.21,0.98,30.43,68.72,26.5,0,0,0.98,0,14.72,0,1.96,0,0,4.91,0,21.6,125.65,15.71,0.98
 84-94,1.06,0,0,0,2.12,0,56.29,0,1.06,36.11,7.43,0,0,7.43,0,2.12,0,0,1.06,1.06,457.74,0,23.36,45.67,28.68,1.06,0,1.06,0,7.43,1.06,1.06,0,0,2.12,0,10.62,86.03,8.5,0
 96-106,0,0,0,0,5.46,2.19,31.69,1.09,1.09,39.34,10.93,0,0,15.3,1.09,0,1.09,0,1.09,1.09,432.77,0,19.67,42.62,39.34,1.09,1.09,1.09,0,14.21,1.09,1.09,0,0,0,1.09,9.84,96.17,4.37,0
108-118,0,0,0,0,2.3,0.77,27.57,0,0.77,22.21,13.79,0.77,0,6.13,0.77,0,0,0,1.53,0,422.05,0.77,24.51,35.23,27.57,0,0,0.77,0,11.49,0,3.06,0,0,0,0,9.96,79.66,9.96,0
120,0,0,1.96,0,5.88,1.96,17.64,0,0,35.28,9.8,0,0,1.96,1.96,0,0,0,1.96,0,431.15,0,33.32,39.2,43.12,1.96,0,0,0,17.64,1.96,0,0,0,1.96,0,13.72,150.9,9.8,0
