stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4,14,71,52,0,77,0,1,0,5,20,4,0,0,4,0,0,12,3,34,1,0,31,453,12,0,2,8,0,3,2,53,50,5,110,188,0,0,3,0,3
 24-34,2.46,8.21,40.22,7.39,0,137.08,2.46,3.28,3.28,8.21,7.39,0,3.28,7.39,5.75,4.1,4.93,18.88,5.75,106.71,0,0.82,45.15,622.21,9.03,4.93,4.1,0,0,4.1,0.82,1.64,21.34,6.57,58.28,135.44,0,0,22.16,0,5.75
 36-46,0.81,0.81,12.89,0.81,0,106.35,2.42,4.03,3.22,20.14,3.22,0,3.22,4.83,2.42,12.89,4.03,11.28,7.25,99.1,2.42,0,34.64,385.92,4.03,4.03,3.22,0,0,8.06,0,0,15.31,1.61,2.42,94.26,0,0,16.11,0.81,10.47
 48-58,2.3,1.72,10.9,1.15,0,166.4,2.3,4.59,10.9,55.09,6.31,1.72,3.44,8.61,1.15,26.97,3.44,16.07,5.16,150.34,2.3,9.75,42.46,278.87,4.02,3.44,5.74,0,1.15,2.87,0,0,9.75,3.44,0,59.1,0,1.72,15.49,0,9.75
 60-70,1.96,0,23.56,2.94,1.96,178.64,5.89,7.85,6.87,84.41,13.74,0,3.93,10.8,0.98,35.33,0,19.63,5.89,181.58,2.94,5.89,33.37,266.97,4.91,0.98,2.94,0,1.96,13.74,0,0,15.7,0.98,0,44.17,0.98,3.93,19.63,0.98,10.8
 72-82,16.69,0,17.67,9.82,1.96,164.92,2.94,1.96,12.76,137.43,32.39,0.98,3.93,13.74,3.93,38.28,5.89,64.79,5.89,354.38,7.85,11.78,45.16,243.45,4.91,1.96,10.8,0,3.93,12.76,0,0,20.61,1.96,0,23.56,1.96,7.85,24.54,7.85,12.76
 84-94,14.87,3.19,63.72,19.12,9.56,178.42,3.19,7.43,20.18,104.08,84.96,4.25,5.31,33.99,16.99,72.22,7.43,213.47,6.37,266.57,4.25,8.5,53.1,181.61,6.37,4.25,14.87,0,1.06,80.71,0,0,81.78,7.43,0,15.93,4.25,7.43,28.68,15.93,26.55
 96-106,19.67,2.19,90.71,28.41,8.74,179.23,2.19,10.93,8.74,132.23,95.08,0,10.93,50.27,12.02,68.85,6.56,271.03,9.84,347.53,7.65,10.93,37.16,230.59,13.11,9.84,29.51,0,6.56,64.48,1.09,0,56.83,3.28,0,8.74,3.28,13.11,56.83,10.93,21.86
108-118,13.79,6.13,144,34.47,15.32,114.13,3.06,25.28,16.85,100.34,114.89,0,1.53,41.36,13.79,79.66,3.06,529.28,10.72,314.81,7.66,9.96,52.09,231.32,10.72,9.96,18.38,0,5.36,60.51,0,0,62.04,6.13,0,19.15,4.6,6.89,36,8.43,23.74
120,13.72,1.96,227.34,48.99,1.96,94.07,3.92,29.4,13.72,54.87,107.79,1.96,9.8,35.28,5.88,56.83,3.92,272.41,9.8,272.41,0,3.92,66.63,244.97,25.48,9.8,15.68,0,1.96,113.67,1.96,0,54.87,7.84,0,11.76,5.88,5.88,50.95,5.88,13.72
