stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,21.03,7.89,0,0,55.2,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,333.85,5.26,0,0,97.26,0,7.89,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,18.88,0,3.15,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,427.99,12.59,0,0,94.41,0,18.88,0,3.15,18.88,0,0,0,0,0,0,0
 14-21,0,0,2,266,1,3,0,0,0,0,3,0,0,0,1,0,0,4,2,0,6,9,0,0,0,0,0,59,0,3,0,10,4,0,0,0,0,0
 24-34,0,0,0,40.22,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,5.75,0,0,5.75,10.67,0,0.82,0,0,0.82,12.31,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0.81,0.81,0.81,9.67,0,0.81,0.81,0,0,12.89,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,12.05,0,1.72,0,1.72,0,0.57,0.57,0.57,0.57,0,0,0,0,20.66,0.57,1.72,1.72,7.46,0,0,0.57,0,0,2.3,0,0,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0,0,26.5,0,7.85,0,0.98,0,0,0,0,0.98,0,0,0.98,0,81.47,1.96,0.98,0,8.83,0,0,0,0,0,1.96,0,0,0,0,0.98,0.98,0.98,0,0,0
 72-82,0,0,0,24.54,0,3.93,0.98,0.98,0,0.98,0.98,0,0,0.98,0,0,0,160.99,0,0.98,0.98,8.83,0,0.98,0,0,1.96,2.94,0,0,0,0,0,0,1.96,0,2.94,0
 84-94,0,0,0,41.42,0,8.5,0,4.25,1.06,1.06,3.19,0,0,0,2.12,1.06,0,81.78,0,1.06,0,4.25,0,0,1.06,0,0,7.43,0,0,0,0,1.06,4.25,0,0,1.06,0
 96-106,0,0,0,49.18,0,4.37,0,1.09,0,0,4.37,0,0,1.09,3.28,0,1.09,62.29,0,1.09,0,1.09,0,2.19,0,0,0,12.02,0,0,0,0,1.09,3.28,1.09,0,1.09,0
108-118,0,0,0,46.72,0.77,0.77,0,4.6,0,0.77,5.36,0,0,0,1.53,0.77,0,34.47,1.53,0,0.77,6.13,0,1.53,0,0,0,7.66,0,0,0,0,0,2.3,0.77,0,0.77,0
120,0,0,0,29.4,0,3.92,0,0,0,0,7.84,0,0,0,1.96,0,0,29.4,5.88,0,0,7.84,0,0,0,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0,0
