stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,26.29,0,0,0,76.23,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,315.45,10.51,0,0,134.06,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,34.62,0,6.29,0,84.97,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,626.25,3.15,0,0,280.08,0,3.15,15.73,0,22.03,0,6.29,0,0,0,0,0,0
 14-21,0,0,3,42,11,0,24,0,0,9,0,0,0,0,2,0,0,0,0,15,0,0,19,282,3,0,1,8,0,5,0,33,1,0,29,91,0,0,1,0,0
 24-34,0,0,0.82,10.67,0,0,59.92,0.82,0,6.57,0,0,0.82,0.82,0,0.82,0.82,0.82,0.82,55.82,0,0,8.21,441.62,0,4.93,4.1,0,0,10.67,0,0,0,0,5.75,100.14,0,0,3.28,0,0.82
 36-46,0,0,0,4.03,0.81,0,82.98,0.81,2.42,9.67,0,0,0.81,0,0.81,0,0,0,1.61,32.23,0,0.81,6.45,292.46,0.81,3.22,0,0,0,4.83,0,0,0,0,0,62.84,0,0,4.83,0,2.42
 48-58,0,0,0,3.44,0.57,0,130.83,1.15,1.15,16.07,0,0,1.15,0.57,0.57,0.57,0.57,0,0,40.17,0,2.3,5.74,149.76,0,0.57,1.72,0,0,3.44,0,0,0,0,0,28.69,0,0,1.15,0,1.72
 60-70,0,0,0,3.93,0,0,95.21,0,0.98,13.74,0.98,0,0,0.98,0,0.98,0,0,0,22.58,0,0,1.96,54.97,1.96,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,39.27,0,0,12.76,1.96,0,0.98,0,0,0,0.98,0,0,22.58,0.98,0.98,2.94,65.77,0,0,0.98,0,0,0.98,0,0,0.98,0,0,2.94,0,1.96,1.96,0,0
 84-94,0,0,0,4.25,1.06,0,36.11,0,1.06,9.56,2.12,0,0,1.06,0,3.19,0,0,0,32.92,0,5.31,7.43,49.92,0,1.06,1.06,0,1.06,2.12,0,0,0,0,0,5.31,0,1.06,3.19,0,0
 96-106,0,0,0,6.56,0,0,30.6,0,1.09,9.84,2.19,0,1.09,1.09,0,1.09,0,0,0,21.86,0,1.09,4.37,49.18,0,5.46,0,0,0,2.19,0,0,1.09,0,0,1.09,1.09,1.09,4.37,3.28,0
108-118,0,0,0,4.6,0,0,32.94,0.77,2.3,11.49,0,0,0.77,1.53,0.77,0,0,0,0,19.15,0,0.77,3.06,59.75,0,0,0.77,0,0,3.83,0,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,5.88,1.96,0,19.6,1.96,0,1.96,1.96,0,0,3.92,0,0,0,1.96,0,15.68,0,0,1.96,43.12,0,0,1.96,0,0,1.96,0,0,1.96,0,0,3.92,0,0,5.88,0,0
