stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,26.29,0,65.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,28.32,0,0,44.06,0,44.06,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,2,6,38,15,7,0,0,1,4,0,0,3,0,0,0,0,7,1,0,6,59,2,0,1,2,0,300,2,6,1,7,37,0,0,5,0,0
 24-34,0,0,0,2.46,19.7,21.34,9.85,0.82,0,3.28,2.46,0.82,1.64,9.85,0,0.82,1.64,1.64,19.7,3.28,0,5.75,104.25,3.28,0.82,1.64,0,0,68.13,0,0,0.82,0.82,63.21,0,0,7.39,0,1.64
 36-46,0,0,0,0,5.64,4.03,7.25,0,3.22,4.83,1.61,2.42,0,0.81,0.81,0,3.22,1.61,16.92,0.81,0,3.22,62.84,6.45,2.42,1.61,0,0,27.39,0,0,0,0,84.6,0,0,2.42,0,2.42
 48-58,0,0,0,0.57,3.44,2.3,10.33,0.57,1.72,8.03,1.72,0,0,0,1.72,0.57,2.3,2.87,28.69,0.57,1.15,4.02,28.12,4.59,1.15,0.57,0,0,9.75,0,0,0,0,49.35,0,0,1.15,0,1.15
 60-70,0,0,2.94,0,7.85,2.94,5.89,1.96,0.98,13.74,7.85,1.96,0,1.96,1.96,0,0.98,1.96,46.13,0,0.98,0.98,10.8,1.96,0,0,0,0,11.78,0,0,0,0,14.72,1.96,0,4.91,0.98,0.98
 72-82,0,0,11.78,0.98,15.71,6.87,6.87,0.98,4.91,23.56,26.5,3.93,0,2.94,0.98,1.96,0,0,55.95,1.96,0.98,4.91,12.76,0,0,2.94,0,0.98,9.82,0,0,0,0,1.96,4.91,2.94,3.93,1.96,0
 84-94,0,0,5.31,0,32.92,2.12,10.62,2.12,3.19,24.43,41.42,1.06,3.19,6.37,1.06,1.06,0,0,45.67,0,1.06,2.12,10.62,1.06,2.12,5.31,0,0,30.8,0,0,0,0,1.06,3.19,2.12,5.31,0,0
 96-106,0,0,14.21,0,33.88,5.46,5.46,0,2.19,49.18,49.18,4.37,1.09,7.65,0,4.37,0,2.19,30.6,3.28,1.09,1.09,17.49,0,6.56,4.37,0,0,29.51,0,0,0,0,0,3.28,1.09,7.65,1.09,1.09
108-118,0,0,3.83,1.53,36,3.83,4.6,0,3.06,28.34,58.21,1.53,2.3,3.83,0.77,1.53,0,0.77,36.77,0.77,0,2.3,10.72,0.77,2.3,4.6,0,0.77,21.45,0,0,0,0,0,3.06,0.77,3.83,0.77,0
120,0,0,1.96,1.96,47.03,11.76,3.92,1.96,3.92,37.24,43.12,3.92,3.92,5.88,0,0,0,0,27.44,1.96,1.96,0,13.72,3.92,1.96,1.96,0,3.92,33.32,0,0,0,0,0,1.96,0,3.92,0,0
