stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,31.54,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,1,3,2,2,0,0,0,0,0,0,3,3,33,1,0,2,0,0,2,1,8,0,0,0
 24-34,0,0,0,1.64,0,5.75,0.82,0,0,0.82,0,0,0.82,1.64,50.07,0,0,1.64,0,0,0,0,9.03,0,0.82,0
 36-46,0,0,0,0,0,8.86,0,0,0,0,0,0,2.42,2.42,43.51,0,1.61,0,0,0,0,0,8.86,0,1.61,0
 48-58,0,0,0,0,0,9.18,0,0.57,0,0,0,0.57,5.74,0.57,36.72,0,0,0,0,0.57,0,0,8.61,0,0,0
 60-70,0,0,0,0,0,14.72,0.98,0,1.96,0,0,0,3.93,0.98,32.39,0,0.98,0,0,0,0,0,7.85,0.98,0.98,0
 72-82,0,0,0,0.98,0,10.8,0,0,6.87,0,0,0,9.82,0.98,18.65,0,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,2.12,10.62,0,1.06,3.19,0,0,0,10.62,0,23.36,0,0,0,0,0,0,0,2.12,0,0,1.06
 96-106,0,0,0,1.09,1.09,7.65,0,0,1.09,1.09,0,1.09,6.56,0,15.3,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,3.06,0,0,3.83,0,0.77,0,5.36,1.53,10.72,0,0.77,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,1.96,0,5.88,0,0,0,0,0,0,3.92,0,9.8,0,0,0,0,0,0,0,0,0,0,0
