stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,132.17,3.15,0,0,28.32,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,9,0,7,0,0,6,0,0,0,0,0,0,0,0,4,0,0,2,127,9,0,1,2,0,3,0,8,2,9,41,0,0,1,0,0
 24-34,0,0,0,0,2.46,1.64,32.83,0,0.82,1.64,0,0,0.82,0.82,0,0,0,0,14.78,0,0,7.39,239.69,0.82,2.46,0.82,0,0,4.93,0,0,1.64,4.1,68.95,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,74.93,0,0,12.09,0.81,0,0.81,0,0,0,0.81,0,14.5,0,0,5.64,158.72,0.81,2.42,3.22,0,0,1.61,0,0,0,0,40.28,0,0,1.61,0.81,0
 48-58,0,0,0,0,1.15,0.57,78.61,0,1.15,14.92,0,0,1.15,0.57,0,0,0,0,23.53,0,1.72,2.87,80.33,0,1.15,0.57,0,0,0,0,0,0,0,13.2,0,0,0,0,0.57
 60-70,0.98,0,0,0,0.98,0,49.08,0,0.98,22.58,0,0,0,1.96,0.98,0,0,0,30.43,0,0,0,61.84,0,0.98,2.94,0,0,3.93,0,0,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,31.41,0.98,0.98,26.5,0,0,0,0,0,0,1.96,0,30.43,0,0.98,2.94,40.25,0,1.96,1.96,0,0,0.98,0,0,0,0,3.93,0.98,0,1.96,0,0.98
 84-94,0,0,1.06,0,3.19,1.06,29.74,0,1.06,10.62,0,1.06,1.06,0,1.06,0,2.12,0,27.61,0,0,2.12,42.48,0,1.06,1.06,0,0,4.25,0,0,0,0,3.19,2.12,1.06,3.19,2.12,0
 96-106,0,0,1.09,0,4.37,2.19,25.14,0,1.09,10.93,1.09,0,2.19,0,0,0,0,0,26.23,0,0,4.37,36.06,0,3.28,4.37,0,0,4.37,0,0,0,0,2.19,1.09,0,2.19,1.09,1.09
108-118,0,0,0.77,0,6.13,2.3,19.15,1.53,1.53,14.55,0.77,0,0,0,1.53,0,0,0.77,21.45,0.77,0.77,4.6,36.77,0,2.3,1.53,0,0.77,2.3,0,0,0,0,0.77,0,0,1.53,0.77,0.77
120,0,0,0,0,3.92,3.92,23.52,0,0,11.76,0,0,0,3.92,0,1.96,0,1.96,21.56,0,0,3.92,25.48,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0
