stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,44.06,28.32,0,0,25.18,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,45,5,2,0,0,0,0,1,16,0,0,2,0,0,1,0,5,0,0,3,27,12,2,2,1,0,26,0,5,1,2,7,0,0,2,0,0
 24-34,0,0,0,0.82,33.66,0,3.28,0,0.82,0,0.82,0,0.82,0.82,3.28,0.82,0,0,0,0,7.39,3.28,0,13.13,68.13,0.82,20.52,3.28,0,0,17.24,0,0.82,0.82,3.28,12.31,0,0,3.28,0,0.82
 36-46,0,0,0,0,22.56,0,3.22,0,0.81,0,5.64,0.81,0.81,1.61,3.22,2.42,0,1.61,0,0,9.67,3.22,0,3.22,70.9,0,18.53,3.22,0,0,5.64,0,0,0,0,38.67,0,0,0.81,0,0
 48-58,0,0,0,0,6.31,0,16.64,0,2.3,0.57,12.05,0,0,0,2.87,0,0,0.57,0.57,0,17.21,4.02,0,4.02,104.43,0,6.89,2.87,0,0.57,5.16,0,0,0,0,35,0,0.57,0.57,0,0
 60-70,0,0,0.98,0,11.78,0,40.24,0,1.96,2.94,19.63,0,0,0,2.94,0,0.98,0,0,0,11.78,4.91,0,2.94,227.71,0,9.82,2.94,0,0.98,1.96,0,0,0.98,0,36.32,0,0,1.96,0,0.98
 72-82,0,0,2.94,0,9.82,0,70.68,0,2.94,3.93,34.36,2.94,0,0,8.83,1.96,0,1.96,0,0,34.36,6.87,1.96,3.93,218.91,0,17.67,8.83,0,0.98,4.91,0,0,0,0,29.45,0,1.96,0.98,0.98,0
 84-94,0,0,0,0,18.05,0,41.42,1.06,4.25,1.06,18.05,3.19,0,0,8.5,2.12,0,0,0,0,25.49,6.37,0,2.12,116.82,0,7.43,18.05,0,0,12.74,0,0,0,0,12.74,1.06,2.12,5.31,4.25,0
 96-106,0,0,1.09,0,16.39,1.09,42.62,0,1.09,0,12.02,7.65,0,1.09,15.3,1.09,0,4.37,0,1.09,27.32,3.28,1.09,4.37,102.73,0,16.39,12.02,0,1.09,17.49,0,0,0,0,3.28,3.28,1.09,2.19,5.46,1.09
108-118,0,0,0.77,0.77,11.49,0,29.11,0,2.3,0.77,14.55,6.13,0,0,13.79,0.77,0,2.3,0.77,0,22.21,1.53,0.77,0,108,0,13.02,9.96,0,1.53,6.89,0,0,0,0,3.83,1.53,0,2.3,1.53,0.77
120,1.96,0,0,0,17.64,0,52.91,0,0,0,13.72,3.92,0,0,17.64,1.96,0,0,0,0,15.68,1.96,1.96,0,174.42,0,13.72,13.72,0,1.96,9.8,0,0,0,0,7.84,1.96,0,1.96,9.8,1.96
