stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,57.83,2.63,0,0,39.43,0,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0,44.06,0,0,0,15.73,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2,13,0,0,0,0,0,1,2,0,1,5,0,0
 24-34,0,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0,0,2.46,0.82,21.34,0,0,0,0,0,0,0,0,0,11.49,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,17.72,0,1.61,0,0,0,0,0,0,0,9.67,0,0
 48-58,0,0,0,0,1.15,0,1.15,0.57,0.57,1.15,0,0.57,0,0.57,0,28.12,0,1.15,0.57,0,0,0,0,0,0,11.48,0,1.15
 60-70,0,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0.98,0,38.28,0,0,0,0,0,0,0,0,0,4.91,0,0.98
 72-82,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,2.94,0,60.86,0,0,0,0,0,0,0,0,0,8.83,0,0
 84-94,0,0,0,0,4.25,1.06,6.37,0,0,0,0,0,1.06,1.06,0,36.11,0,0,0,0,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,0,2.19,1.09,0,0,0,0,0,0,0,42.62,0,0,0,0,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,1.53,0,3.06,0,0,0,0,0,0,0.77,0,40.6,0,0,0.77,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,1.96,0,33.32,0,0,0,0,0,0,0,0,0,1.96,0,0
