stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,1,2,1,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0.82,0.82,4.1,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0.81,1.61,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0.57,0,0.57,0,1.72,0,2.87,1.72,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,5.89,0,0,0.98,0,0,0,0,4.91,0,3.93,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,2.12,0,1.06,0,0,1.06,1.06,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,1.53,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,1.96
