stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,12.59,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,1,0,1,0,1,0,0,5,8,0,0,0,0
 24-34,0,0,0,2.46,0,0,4.1,0,0.82,0,0.82,0,0,0,1.64,0,0,0.82,0,6.57,0,0,2.46,43.51,0.82,0,0.82,0,0,9.03,0,0,1.64,11.49,0,0,0,0
 36-46,0,0,0,1.61,0,0,12.89,0,0.81,0,0.81,0,0.81,0.81,0,0,0,0,0.81,2.42,0,0,0.81,73.32,0,0.81,0.81,0,0,2.42,0,0,0,12.09,0,0.81,0,0
 48-58,0.57,0,0,1.15,0,0,22.95,0,0.57,0.57,4.02,0,0.57,0,0.57,0,0.57,0,0,7.46,0,0,0.57,69.43,0.57,0.57,0.57,0,0,2.3,0,0.57,0,10.9,0,1.72,0,0.57
 60-70,0,0,0,0.98,0.98,0,53.98,0.98,0.98,0.98,5.89,0.98,0,0,0.98,0,0,0,0,5.89,0,0.98,2.94,127.6,0,0.98,0,0,0,3.93,0.98,0,0,13.74,0,1.96,0,0
 72-82,0,0,0,0.98,1.96,0,29.45,0,1.96,0.98,7.85,0.98,0,1.96,0.98,0,0,0,0,16.69,0,0,1.96,79.51,0,0.98,0.98,0,0,2.94,0,0.98,0,8.83,0,1.96,1.96,0.98
 84-94,0,0,0,8.5,0,0,23.36,0,0,1.06,6.37,2.12,0,1.06,1.06,1.06,0,0,0,6.37,1.06,2.12,2.12,47.79,0,0,1.06,0,0,5.31,0,1.06,0,1.06,1.06,1.06,0,0
 96-106,0,0,0,5.46,0,0,17.49,2.19,1.09,0,7.65,1.09,0,2.19,0,0,1.09,0,0,8.74,0,0,0,32.79,0,3.28,7.65,0,1.09,10.93,0,0,0,1.09,0,6.56,1.09,1.09
108-118,0,0,0,5.36,0,1.53,16.85,0.77,0,0.77,5.36,2.3,0,4.6,1.53,0,0.77,0,0,7.66,0.77,0,0.77,41.36,2.3,1.53,3.06,0,0,7.66,0,0,0,2.3,0,0.77,1.53,1.53
120,0,0,0,11.76,0,5.88,13.72,0,0,1.96,9.8,7.84,0,1.96,0,3.92,0,1.96,0,7.84,0,1.96,0,39.2,0,3.92,1.96,0,0,0,1.96,0,0,3.92,1.96,0,0,0
