stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,33,0,0,1,0,0,3,0,0,2,0
 24-34,0,0,0,0,0,3.28,0,0,0.82,0,0,0,0,0,0,0,0.82,7.39,0.82,0,0.82,0,0,0,4.93,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,3.22,0,10.47,0.81,0,0,0,0,0,8.06,0,0,0,0
 48-58,0,0,0.57,0,0,5.74,0,0,0.57,1.72,0,0,0,0,0.57,1.15,0.57,14.92,1.15,0,0.57,0,0,0,8.03,0,0,0.57,0.57
 60-70,0,0,0,0,0,5.89,0.98,0,0.98,2.94,1.96,0,0,0.98,0,3.93,0,7.85,1.96,0,0.98,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0.98,0.98,19.63,0,0,0,12.76,7.85,0,2.94,2.94,0,3.93,1.96,15.71,0,0,2.94,0,0,0,11.78,0,0,3.93,0
 84-94,0,0,0,0,1.06,4.25,0,0,0,8.5,21.24,1.06,0,6.37,0,5.31,1.06,9.56,0,1.06,0,0,0,1.06,16.99,1.06,0,2.12,0
 96-106,0,0,3.28,0,0,4.37,0,0,0,8.74,33.88,0,4.37,4.37,0,6.56,1.09,8.74,1.09,0,0,0,1.09,0,21.86,1.09,0,3.28,0
108-118,0,0,0,0,4.6,3.83,0,0,0,12.26,43.66,1.53,16.09,7.66,0,4.6,0,10.72,1.53,0,0.77,0,0,0,20.68,0,0,2.3,0.77
120,0,1.96,3.92,0,3.92,1.96,0,1.96,0,11.76,52.91,0,1.96,5.88,0,9.8,1.96,5.88,0,0,3.92,0,1.96,0,15.68,0,1.96,5.88,0
