stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,1634.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,1385.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,24.52,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,15.77,0,5.26,0,0,0,36.8,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,231.33,2.63,0,0,89.38,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,18.88,0,3.15,0,84.97,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0,771.01,9.44,0,0,242.32,0,0,6.29,3.15,44.06,0,0,0,0,0,0,0
 14-21,0,0,0,4,113,27,0,83,0,0,5,3,8,1,0,1,1,0,0,0,40,0,0,30,438,5,1,8,9,0,4,0,114,6,1,184,87,0,4,0,0
 24-34,0,0,0,4.1,18.06,2.46,0,87.01,0,1.64,5.75,1.64,0,0,1.64,3.28,0.82,2.46,1.64,0.82,49.25,0.82,0,18.06,318.49,0.82,0.82,4.93,0,0,6.57,0,0.82,0,0,32.01,71.41,0,4.1,0,0.82
 36-46,0,0,0,0,2.42,0.81,0,37.06,0.81,0.81,12.09,0.81,0,0.81,0.81,0,0.81,0.81,1.61,0,33.84,0,0,8.86,185.3,0.81,0,1.61,0,0,7.25,0,0,0,0,0.81,66.06,0,1.61,0,0
 48-58,0,0,0,0,6.89,0,0,55.66,0.57,1.15,15.49,0.57,0,0.57,0,0,0.57,0.57,1.15,0.57,43.04,0,2.3,9.18,189.93,0,0,2.87,0,0,2.3,0,0,0,0,0,56.81,0,1.15,0,0.57
 60-70,0,0,0.98,0.98,3.93,0,0,97.17,0.98,1.96,27.48,8.83,0,0,0.98,0,0,2.94,5.89,0,78.52,0.98,1.96,11.78,297.4,0.98,0.98,2.94,0,0,3.93,0,0,0,0,0,60.85,1.96,6.87,0,1.96
 72-82,0,0,0,0,11.78,0.98,0,55.95,0.98,3.93,19.63,5.89,0,0,2.94,0,0,0,1.96,0,58.9,0,1.96,17.67,161.97,0.98,0.98,1.96,0,0,2.94,0,0,0,0,0,32.39,1.96,6.87,0.98,0.98
 84-94,0,0,2.12,0,10.62,2.12,1.06,48.85,0,1.06,14.87,4.25,0,1.06,2.12,1.06,1.06,1.06,0,0,38.23,1.06,6.37,20.18,83.9,5.31,0,2.12,0,2.12,18.05,0,0,0,0,0,13.81,0,8.5,2.12,1.06
 96-106,0,0,0,0,13.11,2.19,0,17.49,0,2.19,9.84,0,0,2.19,5.46,1.09,2.19,1.09,1.09,1.09,38.25,1.09,1.09,16.39,77.59,0,2.19,6.56,0,1.09,19.67,0,0,1.09,1.09,0,6.56,0,3.28,1.09,1.09
108-118,0,0,0.77,0,35.23,0.77,2.3,16.85,5.36,2.3,14.55,3.06,0,0.77,6.89,1.53,1.53,2.3,1.53,0,45.96,0,2.3,18.38,91.15,1.53,2.3,2.3,0,0,13.79,0,0,0.77,0,0,9.96,0.77,4.6,1.53,0
120,0,0,1.96,0,33.32,3.92,0,25.48,0,0,15.68,3.92,0,1.96,1.96,3.92,0,1.96,0,0,33.32,1.96,1.96,23.52,82.31,3.92,1.96,1.96,0,0,15.68,0,0,1.96,0,0,0,0,1.96,1.96,0
