stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,12,11,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,30,0,0,7,128,0,0,0,0,0,0,0,0,2,35,0,0,0,0,0
 24-34,0,2.46,1.64,5.75,0,0,5.75,0,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0,8.21,0,0,0,109.17,0,3.28,0.82,0,0,1.64,0,0.82,1.64,58.28,0,0,0.82,0,0
 36-46,0,3.22,0,4.03,0.81,0,12.09,1.61,0,0,3.22,0,0.81,0,0,0,0,0,0,4.83,0,0,3.22,159.52,1.61,0.81,0,0,0,4.03,0,0,0,59.62,0,0,0.81,0,0
 48-58,0,2.3,0,3.44,0,0,24.1,0,0.57,0,17.79,0,0,0.57,0,0,0,0,0,9.75,0,1.72,1.15,226.08,0.57,1.72,0,0,0.57,4.59,0,0,0,40.17,0,0,0,0,1.72
 60-70,0,3.93,0,1.96,0,0,73.61,0.98,1.96,0.98,18.65,0.98,0.98,0,0,0.98,0,0,0,21.59,0.98,0,4.91,331.75,0,0.98,0,0,0,3.93,0,0,0,21.59,0,0,2.94,0,1.96
 72-82,0,6.87,0,5.89,4.91,0,71.66,0.98,0,0.98,20.61,0.98,0.98,1.96,0.98,0,2.94,0,1.96,28.47,0.98,0.98,6.87,319.04,0,3.93,1.96,0,0.98,4.91,0,0,0,16.69,0,0,2.94,0.98,2.94
 84-94,0,6.37,0,9.56,3.19,0,38.23,0,2.12,3.19,14.87,1.06,0,1.06,0,1.06,0,0,0,15.93,1.06,0,1.06,158.24,0,3.19,0,0,0,7.43,0,0,0,11.68,0,1.06,1.06,1.06,0
 96-106,0,6.56,1.09,14.21,8.74,1.09,46.99,0,6.56,1.09,16.39,5.46,0,5.46,2.19,0,1.09,5.46,0,32.79,1.09,4.37,2.19,187.97,1.09,2.19,1.09,0,2.19,22.95,0,0,0,5.46,0,0,4.37,2.19,1.09
108-118,0,3.06,0,11.49,6.13,3.83,31.4,0,2.3,1.53,16.85,3.06,0.77,2.3,0.77,0.77,0,1.53,0,30.64,0.77,1.53,0.77,193.79,0.77,2.3,1.53,0,0,11.49,0.77,0,0,6.89,1.53,0.77,3.06,1.53,3.06
120,0,9.8,0,21.56,3.92,5.88,33.32,0,1.96,5.88,21.56,3.92,0,5.88,0,0,0,1.96,0,17.64,3.92,0,7.84,239.09,0,1.96,0,0,0,11.76,1.96,0,0,3.92,0,0,0,0,0
