stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,3,0,0,0,0,0,12,0,0,1,0
 24-34,0,0,0,0.82,0.82,0,5.75,0,0.82,0,0,0,0,0,1.64,2.46,0.82,0,0,1.64,30.37,0.82,18.06,9.85,0,0,0,0,0,41.04,0,0,0,0.82
 36-46,0,0,0,0,0,0,41.09,0,4.03,0,0,0,0,0.81,0.81,0,0.81,0,0.81,0,40.28,0,12.89,1.61,0,0,0,0,0,45.92,0,0,0,0
 48-58,0,0,0,0,0.57,0,61.4,0,5.16,0,0,0,0,0,1.15,0,1.72,0,0,0,32.71,0,16.07,4.59,0,0,0,0,0,25.82,0,0,0,0
 60-70,0,0,0,0,1.96,0,111.89,0.98,11.78,0,0,0,0,0,5.89,0,4.91,0,0,0,17.67,0,16.69,7.85,0,0,0,0,0,11.78,1.96,4.91,0,0
 72-82,0,0,0,0,2.94,0,145.29,0,36.32,0.98,0,0,0,0,3.93,0,3.93,0,0,0,18.65,0,19.63,8.83,0,0,0,0,0,7.85,7.85,5.89,0,0
 84-94,0,0,1.06,0,4.25,0,156.12,0,32.92,5.31,0,0,2.12,1.06,9.56,0,2.12,0,0,0,15.93,0,13.81,30.8,0,0,0,0,0,5.31,27.61,8.5,0,0
 96-106,0,0,2.19,0,1.09,1.09,145.35,0,52.46,6.56,0,1.09,0,0,6.56,0,6.56,0,1.09,0,18.58,0,29.51,20.76,0,2.19,1.09,0,1.09,2.19,42.62,9.84,0,1.09
108-118,0,0,0,0,4.6,0,114.13,0,42.13,3.06,0,0,0,0,3.06,0,0.77,0.77,0,0,12.26,0,13.79,13.02,0,0,0,0,0,0,43.66,9.19,0,0.77
120,0,0,0,0,5.88,1.96,90.15,0,41.16,3.92,0,0,0,0,5.88,0,1.96,0,0,0,17.64,0,7.84,7.84,0,0,0,1.96,0,3.92,23.52,5.88,0,0
