stage,eye,glial,lateral.line,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,1,1,0,0,1,4,0,0,1,0,0
 24-34,1.64,0,0.82,1.64,0,16.42,0,0.82,0,1.64,0
 36-46,5.64,0,0,0.81,0,6.45,0.81,0,0,1.61,0
 48-58,2.87,0.57,0,0,1.15,4.59,0,0,0,0.57,0
 60-70,5.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,1.96,0,0,0,0,0.98
 84-94,1.06,0,0,1.06,0,3.19,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,1.09,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0
