stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,3.22,0,0,0,0,0.81,0,0,1.61,0,9.67,8.86,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,1.72,0,0,0.57,0,0,0,0,2.87,0.57,31.56,10.33,1.15,0,0,1.15,0.57,0,0,0,0,0,0
 60-70,0,0,5.89,0.98,0,0,0.98,0.98,0,0,9.82,0,33.37,12.76,0,0,0,0,0,0,2.94,0,0,0,0.98
 72-82,0,0,6.87,0,0,2.94,0,0.98,1.96,0,34.36,0,44.17,18.65,2.94,0,0,0.98,0,0,0,0,0,0,1.96
 84-94,4.25,0,12.74,0,0,3.19,1.06,1.06,0,0,19.12,0,36.11,20.18,0,1.06,0,3.19,0,0,2.12,0,2.12,1.06,1.06
 96-106,1.09,0,6.56,0,0,5.46,0,2.19,0,3.28,24.04,0,42.62,17.49,0,1.09,2.19,2.19,0,0,0,1.09,0,0,0
108-118,1.53,0.77,6.13,0,0.77,3.06,0.77,0,0.77,0.77,16.09,0,24.51,22.21,0,0,0,1.53,0,0,0,0,0,0,0
120,1.96,0,7.84,0,0,1.96,0,5.88,0,0,13.72,0,21.56,17.64,0,0,0,0,0,0,0,0,0,0,0
