stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,5.26,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,9.44,0,0,0,0
 14-21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,9,0,0,0,0,9,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0.82,0,0,4.93,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,2.42,0,0,8.86,0,0,0,0.81,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,2.3,0,0.57,1.72,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0.98
 72-82,0,1.96,0,0,1.96,0,0,0.98,0,0,0.98,0,0,0.98,2.94,0,0.98,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,1.06,0,3.19,0,1.06,0,0,0,0,3.19,0,1.06,3.19,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,3.28,0,0,2.19,0,2.19,0,0,1.09,0,3.28,1.09,0,5.46,0,0,1.09,0,0,1.09
108-118,0,0,0,0.77,3.06,0,0.77,1.53,0.77,0,0.77,0,0,0,5.36,0,2.3,1.53,0.77,0,2.3,0.77,0,0.77
120,0,3.92,0,0,0,0,0,0,0,3.92,0,3.92,0,0,5.88,0,3.92,5.88,0,0,1.96,0,0,3.92
