stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,13,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,1,0,0,1,0,1,0,37,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0,9.03,0,0,1.64,156.78,0,2.46,2.46,0,0.82,0,0,0,0.82,84.55,0,0,0.82,0,0
 36-46,0,0,0.81,0,4.83,0,0,0,2.42,0,0,0,0,0,0,0.81,0,0,24.17,0,0,3.22,422.17,0,3.22,0,0,0.81,0,0,0,0,63.65,0,0,0.81,0,0
 48-58,0,0,1.72,0,35.58,0.57,0,0.57,12.05,0,0,0,0,0,0,0.57,0.57,1.15,58.53,0,0,1.72,710.94,1.15,1.15,2.3,0,1.72,0,0.57,0,0,48.2,0,0,1.72,0,0.57
 60-70,0,0,1.96,0.98,97.17,0,0.98,0.98,26.5,0.98,0.98,0,0,0,0,0,0,0,56.93,0,1.96,5.89,1327.02,0,1.96,1.96,0.98,4.91,0,0,0,0,69.69,0,0,0,0.98,0
 72-82,0,0,12.76,4.91,224.8,0,0,1.96,79.51,0,0,0.98,1.96,0.98,0,2.94,0,0.98,119.76,0,1.96,2.94,1461.69,0,2.94,5.89,0.98,0,0,0.98,0,0,48.1,0.98,0,4.91,5.89,1.96
 84-94,0,0,13.81,2.12,167.8,0,0,1.06,40.36,1.06,0,2.12,0,1.06,0,4.25,1.06,0,52.04,1.06,1.06,3.19,750.86,0,0,10.62,0,3.19,0,1.06,0,0,41.42,1.06,1.06,1.06,2.12,0
 96-106,0,0,17.49,4.37,142.07,0,1.09,1.09,46.99,0,0,2.19,1.09,0,0,0,0,0,91.8,0,0,2.19,654.62,0,4.37,8.74,2.19,2.19,0,0,0,0,27.32,1.09,2.19,4.37,1.09,1.09
108-118,0,0.77,6.89,3.06,129.45,0,0,0,44.43,0,0,0,1.53,1.53,0.77,0,0.77,0,81.19,0.77,0,2.3,903.84,0.77,1.53,6.89,0,3.83,0,0.77,0.77,0,13.02,1.53,0,2.3,2.3,0.77
120,0,0,7.84,3.92,123.47,1.96,5.88,1.96,48.99,3.92,0,0,3.92,1.96,0,1.96,0,0,43.12,1.96,0,1.96,840.75,0,0,5.88,0,0,0,0,0,0,25.48,0,0,0,0,0
