stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,116.46,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,5.26,0,0,28.92,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,15.73,44.06,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,89,2,0,2,0,0,0,1,1,1,0,0,9,0,0,1,0,1,6,0,0,23,1,0,1,0,683,0,1,1,0,2,11,0,0,0,0
 24-34,0,0,0,0,73.06,0,0,3.28,0,9.03,0,0,3.28,0.82,0,0,24.63,0,4.93,0.82,0,5.75,21.34,0,3.28,97.68,0,29.55,0,0,1255.09,0,0,2.46,0.82,0.82,5.75,0,1.64,0,0
 36-46,0,0,0,0,49.95,0.81,0,13.7,0.81,29.81,0,1.61,2.42,0,0,0,13.7,0,4.83,0,0,7.25,18.53,0,0.81,106.35,0,43.51,0,0,1423.62,0,0,6.45,0,0,14.5,0,0.81,0,1.61
 48-58,0,0,0,0,55.09,0.57,0,20.08,0.57,54.51,1.72,8.03,2.3,4.59,0.57,0.57,8.61,0,8.61,0,0.57,8.61,18.36,1.72,2.3,85.5,1.15,37.87,1.72,0,1315.73,0,0,0,0,0,15.49,0,6.31,0,5.74
 60-70,0,0,0,0,85.39,0,0,18.65,0,25.52,0,0.98,3.93,2.94,0,0.98,8.83,0,14.72,0,0,3.93,9.82,0,0,48.09,0,35.33,0.98,0,994.28,0,0,0.98,0,0,4.91,7.85,2.94,0,2.94
 72-82,0,0,0.98,0,125.65,1.96,0,19.63,0,44.17,1.96,2.94,35.34,4.91,0,0,19.63,0,21.6,0,0,4.91,14.72,2.94,0.98,76.57,0,52.03,1.96,0,862.88,0.98,0,0.98,0,0,4.91,30.43,1.96,0.98,4.91
 84-94,0,0,2.12,0,274.01,2.12,0,12.74,0,107.27,1.06,4.25,54.16,1.06,0,1.06,53.1,0,29.74,0,0,8.5,20.18,0,1.06,55.23,0,91.34,1.06,0,2159.12,0,0,3.19,0,0,2.12,147.62,1.06,1.06,2.12
 96-106,0,0,0,0,358.45,3.28,2.19,19.67,1.09,119.12,2.19,1.09,145.35,1.09,0,3.28,39.34,1.09,40.44,2.19,0,5.46,32.79,0,1.09,73.22,1.09,142.07,1.09,0,1815.22,0,0,1.09,0,0,4.37,196.71,0,0,2.19
108-118,0,0,0,0,304.09,0.77,0.77,19.15,0.77,195.32,0.77,2.3,147.06,0,0.77,3.83,58.21,0,34.47,0,0,8.43,34.47,0.77,0.77,56.68,0,98.81,0.77,0,1852.86,0,0,1.53,0,0,1.53,221.36,0.77,2.3,0
120,0,0,0,0,152.86,0,0,7.84,0,88.19,0,3.92,50.95,0,0,1.96,21.56,0,11.76,0,0,3.92,19.6,1.96,0,60.75,0,52.91,0,0,819.19,0,0,1.96,0,0,1.96,70.55,1.96,0,1.96
