stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,8,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,10,14,0,0,0,0
 24-34,0,4.1,13.13,3.28,0,0,2.46,0,0.82,0,10.67,4.93,0,0,0,0.82,0,2.46,2.46,0,0,1.64,17.24,0,0,0,0,0,0,41.04,3.28,0,0,0,0
 36-46,0,0.81,0.81,1.61,0,0,0.81,0,0,0,7.25,10.47,0.81,0,0,0,0,3.22,1.61,0,0,0,7.25,0,0,0,0,0,0,17.72,3.22,0,0,0,0
 48-58,0,1.15,1.72,0.57,0,0,4.59,0,0.57,0.57,2.3,10.33,0.57,0,0,0,0,8.03,3.44,0,0,0,6.31,0,0,0,0,0,0,11.48,1.72,0,0,0,0
 60-70,0,3.93,0.98,0,0,0.98,4.91,0,0.98,0,9.82,50.06,0.98,0,0,0,0,9.82,13.74,0,0,0,6.87,0,0,0,1.96,0,0,7.85,0.98,0,0,0,0
 72-82,0,28.47,0.98,2.94,0,5.89,4.91,0,0,0,5.89,137.43,0,0,0,0,0,24.54,44.17,0,0,0,29.45,0.98,0.98,0,0,0,0,19.63,0.98,0,0,0,0.98
 84-94,0,18.05,2.12,4.25,0,10.62,9.56,1.06,0,1.06,3.19,228.34,1.06,0,0,0,0,87.09,26.55,0,1.06,0,14.87,0,0,0,2.12,0,0,56.29,1.06,0,0,0,0
 96-106,0,19.67,6.56,4.37,5.46,5.46,13.11,0,2.19,1.09,6.56,284.14,1.09,0,1.09,0,0,65.57,28.41,0,0,1.09,28.41,0,1.09,0,4.37,0,0,43.71,1.09,0,0,3.28,2.19
108-118,0,13.79,6.89,4.6,0,18.38,3.83,0,2.3,0,3.06,225.96,0.77,0.77,0,0,0.77,89.62,20.68,0.77,0,0,39.83,0,0,0,1.53,0,0,46.72,2.3,0.77,0,1.53,0
120,0,9.8,1.96,0,0,7.84,3.92,0,0,0,1.96,156.78,1.96,1.96,0,0,0,60.75,19.6,0,0,0,39.2,0,0,0,0,1.96,0,33.32,0,0,1.96,1.96,0
