stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,553.47,10133.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,563.93,5798.63,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,196.15,36.78,0,0,79.69,0,619.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,160.35,65.72,0,118.29,0,0,0,99.89,0,0,0,0,0,120.92,0,0,0,0,0,0,0,0,0,1674.49,110.41,0,0,899.02,0,105.15,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,176.23,0,3.15,0,37.76,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,1277.67,28.32,0,0,116.44,0,53.5,9.44,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,4,14,297,3,0,2,0,5,0,0,15,7,0,0,38,0,1,0,8,4,2,33,0,9,12,7,0,392,3,4,2,0,7,4,0,0,1,0,0
 24-34,0,0,4.1,5.75,165.81,0,0,4.1,0,26.27,0,1.64,2.46,0.82,0,0.82,70.59,0,13.13,0.82,4.1,37.76,2.46,105.07,0.82,36.12,13.95,0,0,838.09,0,0,4.93,0,0.82,9.03,0,0,0.82,0,0
 36-46,0,0,0,1.61,73.32,0,0,4.03,0,27.39,0.81,3.22,0,3.22,0,0,34.64,0,6.45,0.81,4.03,19.34,0.81,96.68,0.81,41.89,3.22,0,0,844.34,0,0,5.64,0,0.81,8.86,0,0,0,0,0
 48-58,0,0,1.15,0,59.1,0,0,13.2,0,35,0,2.3,2.87,6.31,0,0.57,20.66,0,7.46,0.57,6.31,28.69,1.72,59.68,0.57,23.53,5.74,0,0,651.84,0,0,0,0,0,8.61,0,0,0.57,0,0
 60-70,0,0,1.96,0,116.8,0,0,16.69,0,41.22,0,0.98,8.83,2.94,0,0,18.65,0,16.69,0,6.87,23.56,0.98,32.39,0,30.43,3.93,0,0,602.65,0,0,1.96,0,0,4.91,7.85,0,0,0.98,0
 72-82,0,0,4.91,0,121.73,1.96,0,8.83,0.98,29.45,0,0.98,15.71,5.89,0,1.96,51.05,0,21.6,0,10.8,41.23,0.98,30.43,0,40.25,7.85,0,0,618.45,0,0,0.98,0.98,0,0,30.43,0.98,0,0,0.98
 84-94,0,0,4.25,0,245.33,1.06,0,8.5,0,91.34,1.06,3.19,41.42,2.12,1.06,0,66.91,0,24.43,1.06,7.43,39.3,0,22.3,0,56.29,8.5,0,0,1349.85,0,0,1.06,0,0,1.06,115.76,1.06,0,0,0
 96-106,0,0,2.19,0,296.16,4.37,0,19.67,0,98.36,0,7.65,81.96,1.09,0,3.28,86.33,0,33.88,1.09,14.21,61.2,1.09,49.18,3.28,73.22,6.56,0,1.09,1208.69,0,0,1.09,1.09,0,0,192.34,0,0,1.09,0
108-118,0,0,2.3,0,310.22,1.53,2.3,11.49,0,124.85,1.53,3.83,94.21,0,0,3.83,81.96,0.77,36.77,0.77,11.49,48.26,1.53,34.47,0.77,58.98,3.06,0,0,1039.41,0,0,2.3,0,0,0,194.55,0,0,0.77,0
120,0,0,0,0,288.09,0,1.96,5.88,0,90.15,0,1.96,45.08,0,0,3.92,56.83,0,19.6,1.96,0,23.52,0,31.36,1.96,35.28,3.92,0,0,680.05,0,0,0,0,0,0,70.55,0,1.96,0,0
