stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,1,0,0,6,0,0,1,0,0
 24-34,0,0,0.82,2.46,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,1.64,2.46,100.97,4.93,9.03,0,0,0,0,0,0,48.43,0,0,3.28,0,0
 36-46,0,0,0,0.81,0.81,0,6.45,0,0,0,1.61,0,0,0,0,0,0,2.42,0,257.81,2.42,7.25,0,0,0.81,0,0,0,77.34,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,39.59,0,0.57,0.57,2.3,0,0,0,0,0.57,0,7.46,0.57,470.52,4.02,5.16,0.57,0,1.15,0,0,0,91.81,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,98.15,0,0,0,4.91,0,0,0,0,0,0,10.8,0,732.22,0.98,3.93,0.98,0,0,0,0,0.98,117.78,0,0,0.98,0,0.98
 72-82,0,0,0,6.87,0,0,108.96,0,0.98,0,15.71,1.96,0,0,0,0,0,11.78,0.98,583.11,0,12.76,0.98,0,0,0,0,0,58.9,0.98,0,0.98,0,0
 84-94,0,0,0,3.19,0,0,78.59,0,0,1.06,12.74,0,1.06,1.06,0,0,0,6.37,0,320.74,1.06,7.43,1.06,0,0,0,0,0,28.68,0,2.12,0,0,0
 96-106,0,0,0,4.37,0,0,68.85,0,1.09,1.09,9.84,0,0,3.28,1.09,0,1.09,8.74,1.09,284.14,2.19,14.21,0,0,3.28,0,0,0,13.11,0,0,1.09,2.19,0
108-118,0,0,0,3.06,0.77,0.77,51.32,0.77,0,0,8.43,2.3,0.77,1.53,0,1.53,0,3.06,0.77,288,0.77,12.26,0,0,0.77,0,0,0.77,9.96,1.53,0.77,0.77,0,0
120,0,0,0,1.96,1.96,0,52.91,0,0,0,9.8,0,0,0,1.96,0,0,3.92,0,307.69,3.92,5.88,0,0,0,0,0,0,13.72,0,0,1.96,0,0
