stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,12.31,0,0.82,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,0,35.45,0,0,0,3.22,0.81
 48-58,0.57,0,0,0,2.3,0,0,0,28.12,0,0.57,0,0,0
 60-70,0,0,0,0.98,3.93,0,0,0,43.19,0.98,0,0,0.98,0
 72-82,0,0.98,0,0.98,7.85,1.96,0,0,29.45,0,0,0,0.98,0.98
 84-94,0,1.06,0,0,8.5,0,1.06,0,22.3,0,0,0,0,0
 96-106,0,1.09,0,0,5.46,0,0,1.09,26.23,0,0,0,0,1.09
108-118,0,0,0,0,3.83,0,0,1.53,21.45,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,21.56,0,0,0,1.96,0
