stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,0
 24-34,0,0,0.82,0,0,0,0,0,0,9.03,0,0,1.64,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,12.09,0,0,0,0.81,0.81,0
 48-58,0,0.57,2.87,0,0.57,0,0,0,0,12.62,0,0,0.57,0,1.15,0
 60-70,0,0,4.91,0,0,0,0.98,0.98,0,11.78,0,0,0,0,1.96,0
 72-82,0,0,3.93,0,0,0,0,0,0,4.91,0,0,0,0,1.96,0
 84-94,0,0,1.06,0,2.12,0,0,0,0,4.25,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,0,0,0,3.28,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,2.3,0,0,0.77,0,0,0
120,0,1.96,1.96,1.96,0,0,0,0,0,5.88,1.96,0,1.96,0,0,0
