stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,5.26,0,0,0,76.23,0,10.51,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,0,53.5,0,15.73,0,0,0
 14-21,0,0,0,2,0,1,0,0,1,3,7,0,0,0,2,4
 24-34,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0.81,0,2.42,0.81,0,0,0,3.22
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,1.72,0,0,0,0,0.57
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
