stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,1,0,0,0,6,0,0,4,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,5.75,0,0,0.82,2.46,2.46,0
 36-46,0.81,1.61,0.81,0,0,0,0,0,5.64,0,0.81,7.25,0,0,0,1.61,0.81,0
 48-58,0,3.44,0,0.57,0,0,0,0,4.59,0.57,0,4.59,0.57,0,0.57,1.15,0,0
 60-70,0,6.87,0,0.98,0,0,0,0,5.89,0,1.96,4.91,0,0,0,0,0,0
 72-82,0.98,5.89,0,0.98,0,0,0,0.98,3.93,0,0.98,7.85,0,0.98,0,0,0,0
 84-94,0,3.19,0,2.12,1.06,0,0,1.06,5.31,0,1.06,2.12,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,2.19,0,1.09,2.19,1.09,0,1.09,1.09,1.09,0
108-118,0.77,0,0,3.06,0,0.77,0.77,0,6.89,0.77,0.77,1.53,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0
