stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,2.63,0,26.29,0,0,0,0,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,36.8,107.78,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,295.82,0,0,0,6.29,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,261.2,289.52,0,0,22.03,0,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,78,119,8,0,0,0,1,0,1,55,0,0,0,5,0,0,2,15,0,0,2,60,144,0,1,5,0,0,0,2,2,374,0,0,1,0,0
 24-34,0,0,0.82,60.74,63.21,2.46,0,1.64,0,0,0,0,22.16,0,0,0,17.24,0,0,15.6,4.93,17.24,0,1.64,291.4,120.67,0.82,0,0,0,9.03,0,1.64,1.64,318.49,0,0,0,0,0
 36-46,0.81,0,0,5.64,38.67,0,0,5.64,0,0.81,0,5.64,13.7,0,0.81,0,2.42,0,0,10.47,2.42,14.5,0.81,0.81,253.79,114.41,1.61,0,0,0,4.03,0,1.61,0,166.77,0,0,0,0,0.81
 48-58,0.57,0,0.57,3.44,40.74,0,0,6.89,0.57,2.3,0,15.49,18.94,1.15,0,0,3.44,0,0.57,5.16,8.61,18.94,0,1.15,188.78,65.41,0,0,0,0,2.87,0,1.15,0,111.89,0,0,0.57,0,0
 60-70,0,0,0.98,0,25.52,0,0,7.85,0,1.96,0,14.72,32.39,0,0,0.98,0.98,0,0.98,5.89,9.82,11.78,1.96,0.98,147.23,49.08,0,0,0,0.98,1.96,0,0,0,59.87,0.98,0.98,0,0,0
 72-82,0,0,13.74,0.98,25.52,0,1.96,8.83,0,1.96,0,20.61,66.75,0,0,0.98,2.94,0.98,0,6.87,9.82,30.43,0.98,1.96,116.82,30.43,1.96,0,0,0,0.98,0,0.98,0,45.16,10.8,3.93,0.98,0,0.98
 84-94,0,0,7.43,3.19,31.86,0,5.31,12.74,0,3.19,0,16.99,121.07,1.06,1.06,0,3.19,0,0,21.24,3.19,22.3,1.06,0,73.28,46.73,0,0,0,0,2.12,0,5.31,0,47.79,18.05,4.25,0,0,0
 96-106,0,0,5.46,1.09,24.04,0,4.37,6.56,1.09,2.19,0,15.3,125.68,0,0,0,2.19,0,0,40.44,7.65,26.23,0,1.09,75.41,40.44,0,0,0,0,8.74,1.09,2.19,0,48.09,29.51,4.37,1.09,0,1.09
108-118,0,0,4.6,4.6,18.38,0,19.92,7.66,0,2.3,0.77,16.09,103.41,0,0,1.53,4.6,0,0,57.45,7.66,13.02,0,0,56.68,59.75,0,0.77,0,0,3.83,0,2.3,0,25.28,36,2.3,0.77,0,0.77
120,1.96,0,1.96,3.92,17.64,0,7.84,3.92,0,3.92,0,17.64,78.39,0,0,0,0,0,0,56.83,1.96,13.72,1.96,0,94.07,62.71,1.96,0,0,0,7.84,0,3.92,0,35.28,9.8,0,0,1.96,0
