stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,22,266,60,0,107,0,1,0,55,14,0,3,1,8,0,2,0,2,133,0,0,131,1631,66,8,20,56,0,21,4,205,19,7,187,676,0,0,12,0,2
 24-34,0,0.82,9.03,46.79,4.1,0,170.74,0,2.46,0.82,45.97,2.46,0.82,3.28,0.82,3.28,2.46,0.82,1.64,3.28,183.87,0.82,1.64,86.19,1402.02,5.75,18.06,9.85,0,0,23.8,0,0,4.93,0.82,19.7,408.79,0,0,45.15,0,7.39
 36-46,0,0,0.81,16.92,3.22,0,381.89,0,2.42,4.83,57.2,0.81,0,1.61,1.61,0,1.61,0.81,1.61,0,170,1.61,4.03,63.65,1066.71,5.64,12.09,6.45,0,0,16.11,1.61,0,3.22,0,0,338.38,0,1.61,20.14,0,3.22
 48-58,0,0,0.57,14.35,0.57,0,402.81,0,3.44,7.46,83.2,1.72,0,2.3,0,1.15,2.3,0,1.15,1.15,166.4,0.57,5.16,38.44,521.01,0.57,11.48,1.15,0,0,12.05,0.57,0,1.72,0.57,0,146.32,0,1.15,10.9,0,1.15
 60-70,0.98,1.96,0,12.76,0,0,707.68,0.98,1.96,5.89,159.99,0.98,0,2.94,1.96,0.98,0.98,0.98,0.98,0,185.51,0,14.72,27.48,724.36,0,10.8,5.89,0,1.96,2.94,0,0,0.98,0.98,0,127.6,0,1.96,11.78,3.93,1.96
 72-82,0,0.98,0,19.63,4.91,0,399.54,0,0,13.74,129.58,4.91,0,2.94,2.94,2.94,1.96,1.96,0,0,157.07,1.96,10.8,20.61,510.46,0,12.76,10.8,0,1.96,7.85,0,0,0.98,0,0,43.19,0.98,1.96,16.69,2.94,0.98
 84-94,0,0,0,28.68,4.25,1.06,301.62,2.12,6.37,7.43,77.53,6.37,0,1.06,7.43,2.12,3.19,3.19,0,0,123.2,2.12,7.43,27.61,248.52,0,8.5,5.31,0,1.06,16.99,0,0,1.06,0,0,29.74,3.19,2.12,11.68,1.06,1.06
 96-106,0,1.09,0,27.32,1.09,0,230.59,0,5.46,2.19,85.24,6.56,0,2.19,9.84,4.37,1.09,7.65,3.28,1.09,120.21,0,0,13.11,272.12,1.09,10.93,8.74,0,5.46,22.95,0,0,2.19,0,0,8.74,1.09,4.37,15.3,5.46,4.37
108-118,0,0.77,0,16.09,3.83,0.77,141.7,0,7.66,7.66,71.23,5.36,0,0,6.89,4.6,2.3,0.77,1.53,1.53,71.23,0.77,2.3,23.74,272.68,3.06,9.19,6.89,0,0,14.55,0,0,2.3,0,0,11.49,2.3,0,17.62,2.3,3.06
120,0,0,0,9.8,3.92,0,88.19,0,0,3.92,47.03,1.96,0,0,0,1.96,1.96,1.96,3.92,0,45.08,0,3.92,3.92,192.06,0,1.96,3.92,0,0,7.84,0,0,0,0,0,9.8,1.96,1.96,5.88,0,1.96
