stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,0.82,4.93,0,0,0,0,0,16.42,0,0,0.82,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,8.06,0,0,3.22,0,2.42,9.67,0,0.81,0,0,0,165.16,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,10.9,0,6.31,0.57,2.3,0,0,0,0,1.15,0,0,2.87,0,8.61,5.16,0,0.57,30.99,0,2.3,0,0,0,469.95,0,0,7.46,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,20.61,0,13.74,0.98,2.94,0.98,0,0,0,3.93,0,0,1.96,0,8.83,5.89,0.98,0,38.28,0,0.98,0,0,0,783.25,0,0,6.87,0,0.98,0,0,0
 72-82,0,0,0,0,19.63,1.96,0,22.58,0.98,22.58,0.98,9.82,0.98,0,0,0.98,16.69,1.96,0,0.98,0,11.78,8.83,1.96,1.96,55.95,0.98,0.98,1.96,0,0,959.08,0,0,0,5.89,0,3.93,0,0
 84-94,0,0,0,0,33.99,4.25,0,16.99,0,79.65,1.06,5.31,3.19,1.06,0,0,41.42,1.06,0,1.06,0,15.93,22.3,2.12,3.19,50.98,1.06,5.31,0,0,0,3258.33,1.06,0,3.19,5.31,0,0,0,2.12
 96-106,0,0,1.09,0,139.88,7.65,2.19,60.11,0,123.49,0,34.97,6.56,0,1.09,6.56,74.31,1.09,2.19,7.65,1.09,48.09,54.64,5.46,10.93,157.37,1.09,7.65,2.19,0,2.19,3712.4,1.09,1.09,10.93,4.37,1.09,12.02,2.19,4.37
108-118,0,0,1.53,0,136.34,2.3,3.06,35.23,1.53,176.94,3.06,20.68,10.72,0,0,1.53,94.98,0,0,0.77,0.77,46.72,53.62,2.3,8.43,115.66,2.3,3.83,0.77,0,0.77,3364.11,0.77,0,1.53,6.13,0.77,6.13,3.06,1.53
120,0,0,0,0,92.11,3.92,0,9.8,0,101.91,0,9.8,0,0,0,0,33.32,0,0,0,0,9.8,29.4,0,3.92,64.67,0,5.88,1.96,0,0,1716.77,0,0,1.96,3.92,1.96,0,1.96,0
