stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,34.62,0,3.15,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,3,15,6,3,0,0,6,1,0,0,0,7,0,0,4,0,3,0,0,6,149,0,0,0,1,0,10,5,0,1,8,39,0,7,0,0
 24-34,0,0,1.64,5.75,0,9.85,0,0,8.21,0,0,0.82,0,26.27,0,0,2.46,0,18.88,0,0,5.75,295.51,0,0,1.64,0,0,2.46,0,0,0,2.46,75.52,0,33.66,0,0
 36-46,0,0,0,0.81,0,14.5,0,0,18.53,0,0.81,0.81,0,3.22,0,0,0,0,12.89,0,0,4.83,152.27,0,0.81,0.81,0,0,0.81,0,0,0,0,52.37,0,13.7,0,0.81
 48-58,0,0,0,0.57,0,17.21,0,0,25.25,0,0,0.57,0,0.57,0.57,1.15,0,0.57,26.97,0,0.57,2.3,53.36,0,0.57,0,0,0,0,0,0,0,0,28.12,0,8.61,0,0
 60-70,0,0,0,3.93,0,61.84,0,0,27.48,0.98,0,0,0,1.96,0.98,0,0,0,11.78,0,0.98,0.98,17.67,0,0,0,0,0,0,0,0,0,0,1.96,0,6.87,0,0
 72-82,0,0,0,0,0,111.91,0,0,24.54,0.98,0,0,0.98,5.89,1.96,2.94,0,0,23.56,0.98,0.98,0.98,14.72,0,0.98,1.96,0,0.98,0.98,0,0,0,0,1.96,2.94,15.71,1.96,0
 84-94,0,0,0,1.06,0,163.55,0,1.06,8.5,4.25,0,1.06,5.31,16.99,7.43,1.06,0,0,18.05,0,0,0,22.3,0,1.06,0,0,0,0,0,0,0,0,0,9.56,20.18,0,0
 96-106,0,0,0,2.19,2.19,137.7,0,0,5.46,3.28,0,1.09,2.19,14.21,14.21,0,1.09,0,14.21,0,0,3.28,16.39,0,0,0,0,0,0,0,1.09,0,0,0,17.49,22.95,1.09,0
108-118,0,0,1.53,4.6,0,74.3,0.77,0,6.89,1.53,0,0,1.53,6.89,14.55,0.77,0,0,9.19,0.77,0,0,15.32,0,0,0,0,0.77,0,0,0,0,0,0,16.09,15.32,0,0
120,0,0,0,1.96,5.88,64.67,0,0,3.92,1.96,0,0,5.88,7.84,5.88,0,0,0,13.72,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,7.84,23.52,0,0
