stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,52.71,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,214.54,0,0,0,0,0,0,0,0,18.39,0,0,6.13,0,0,0,0
  7-9,0,7.89,5.26,0,5.26,0,0,0,0,0,110.41,2.63,57.83,2.63,0,0,0,0
 10-12,0,0,12.59,0,15.73,0,3.15,0,0,0,154.2,0,53.5,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,1.64,0,0,8.21,0,0,0,0,1.64,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,0.57,0,0.57,4.59,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,0,0.98,0.98,0,6.87,0,0,0,0,0.98,0.98,0.98
 72-82,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,2.12,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
