stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1779.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,239.06,2200.54,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,30.65,18.39,0,0,30.65,55.17,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,42.06,0,55.2,0,0,92,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,807.01,26.29,0,0,294.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,22.03,0,9.44,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.28,28.32,0,0,166.79,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,19,2,7,0,0,0,2,0,1,0,0,0,0,0,1,11,0,0,5,114,6,0,0,5,0,15,3,0,12,42,0,0,0,0,0
 24-34,0,0,0,0,4.1,0,8.21,0,0,0,1.64,0,0,1.64,0,0,0,0.82,0,14.78,0.82,0.82,9.03,111.64,0,0,0.82,0,0.82,0,0.82,0,2.46,26.27,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,18.53,0,0,0,4.83,0,0,0,0,0,0,0,0,12.09,0,0,2.42,82.98,0,0.81,0,0,1.61,0,0,0,0,26.59,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0.57,29.84,0,0,0.57,9.18,0,0,0.57,0.57,0.57,0,0,0,15.49,0,0.57,2.87,74.02,0,0,0,0,1.15,0,0,0,0,10.9,0,0.57,1.15,0,0
 60-70,0,0,0,0,0,0,34.35,0,0,0,8.83,0.98,0,0,0,0,0,0,0,9.82,0,0,0,53,0,0,0.98,0,2.94,0,0,0,0,11.78,0,0,0,0.98,0.98
 72-82,0,0,0,0,1.96,0,24.54,0.98,0,0.98,12.76,1.96,0,0.98,0.98,0,0,0,0,18.65,0,0,1.96,46.14,0,0,0,0,1.96,0,0,0,0,4.91,1.96,0.98,2.94,0.98,0.98
 84-94,0,0,0,0,1.06,1.06,15.93,0,0,0,6.37,1.06,0,0,1.06,0,1.06,0,1.06,12.74,0,1.06,2.12,20.18,1.06,0,0,0,4.25,0,1.06,1.06,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,4.37,0,10.93,0,0,1.09,1.09,0,0,0,0,0,0,0,0,6.56,0,0,1.09,18.58,0,0,2.19,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.6,0.77,2.3,0,0,0,2.3,0,0,0,0,0,0,0,0,8.43,0,0,1.53,16.85,0,0.77,0,0,3.06,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,1.96,0,1.96,0,11.76,0,0,1.96,3.92,1.96,0,0,0,1.96,0,1.96,3.92,25.48,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0,0,1.96
