stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,1,2,0,0,0
 24-34,0,6.57,0,1.64,0,4.1,0,0,0,0,0,0,0,0,0.82,0,0.82,6.57,0,0,0,0,0,1.64,0,0,0
 36-46,0,6.45,0,1.61,0,6.45,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,1.15,0,4.59,0,4.59,0,0,0,0,0,0,0,0,2.3,0,0,9.18,0.57,0,1.72,0,0,1.72,0.57,0,0
 60-70,0,3.93,0,14.72,0,14.72,0,0,0,0,0,0,0,0,1.96,0,0,24.54,0,1.96,0.98,0,0,2.94,0,0,0.98
 72-82,0,5.89,0.98,12.76,0,17.67,3.93,0,0,0,0,0,0,0,1.96,0.98,1.96,29.45,0,0.98,1.96,0,0,3.93,0,0.98,0
 84-94,0,21.24,0,3.19,0,28.68,0,1.06,0,0,1.06,1.06,2.12,0,2.12,0,0,8.5,0,1.06,8.5,0,0,0,0,0,0
 96-106,0,26.23,0,3.28,1.09,44.81,3.28,1.09,0,1.09,0,0,0,0,6.56,1.09,0,22.95,1.09,0,17.49,0,0,3.28,0,0,0
108-118,0,37.53,0,3.83,0,65.11,0.77,0,0,0,0,0,1.53,1.53,7.66,0,0,13.79,0,0,7.66,0,0,1.53,0,0,0
120,0,13.72,0,5.88,0,31.36,3.92,1.96,1.96,1.96,0,0,0,0,1.96,1.96,0,13.72,0,0,27.44,0,0,0,0,0,0
