stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,0,0,0,22.03,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,53,25,46,0,5,0,0,0,4,34,1,0,0,0,0,0,0,1,0,0,2,350,7,3,15,11,0,2,0,13,162,0,3,47,0,0,1,0,0
 24-34,0,0,0.82,44.33,21.34,75.52,0,13.13,0,3.28,0,33.66,24.63,0,0,0,6.57,0,4.93,9.85,1.64,0.82,0,4.1,123.13,11.49,0.82,13.13,0,0,0,0,0,128.87,1.64,0,15.6,0,0,1.64,0,0
 36-46,0,0,0,8.06,12.09,10.47,0,8.06,0.81,3.22,0,29.81,31.42,0,0,0,3.22,0,4.03,14.5,1.61,0.81,0,0.81,60.43,9.67,0,4.83,0,0,2.42,0,0,75.73,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,8.03,3.44,10.9,0,14.35,0.57,1.72,0.57,27.54,53.36,0,0,0,1.72,0,9.18,21.23,4.02,0.57,0,0.57,38.44,2.3,1.72,7.46,0,0,0.57,0,0,54.51,0,0,3.44,0,0,0,0,0
 60-70,0,0,3.93,1.96,10.8,0,0,17.67,2.94,0.98,0,16.69,121.71,0,0,0,0,0,9.82,49.08,4.91,0,0,0,49.08,3.93,0.98,9.82,0,0,0.98,0,0,59.87,0,0,9.82,0,0,0,0.98,0
 72-82,0,0,16.69,2.94,6.87,11.78,0,28.47,1.96,0.98,1.96,16.69,285.66,0,0,0.98,0.98,0.98,34.36,80.5,13.74,4.91,0,3.93,68.72,0.98,1.96,26.5,0,0.98,0.98,0,0,90.31,0,0,1.96,0,0.98,1.96,0,1.96
 84-94,0,0,12.74,10.62,11.68,18.05,4.25,22.3,0,1.06,1.06,14.87,525.71,0,0,3.19,3.19,0,33.99,259.14,10.62,1.06,2.12,1.06,63.72,0,2.12,31.86,0,1.06,7.43,0,0,197.54,3.19,0,3.19,1.06,0,1.06,1.06,1.06
 96-106,0,0,18.58,15.3,8.74,30.6,2.19,37.16,3.28,1.09,1.09,16.39,638.22,0,1.09,4.37,1.09,1.09,36.06,239.33,12.02,2.19,0,1.09,125.68,1.09,2.19,36.06,0,0,10.93,1.09,0,172.67,0,0,1.09,1.09,0,2.19,0,1.09
108-118,0,0,7.66,19.92,15.32,42.13,9.96,19.92,0,2.3,2.3,9.19,675.58,0,0.77,0.77,1.53,2.3,24.51,239.75,14.55,0,0.77,2.3,81.96,4.6,3.83,19.92,0,0,3.83,0,0,168.51,2.3,0,0.77,1.53,0.77,0,0,0.77
120,0,0,9.8,5.88,5.88,43.12,1.96,15.68,5.88,3.92,0,5.88,478.19,0,0,1.96,1.96,0,17.64,135.23,11.76,0,3.92,0,92.11,0,1.96,11.76,0,0,7.84,0,0,111.71,0,0,0,0,1.96,0,1.96,0
