stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,18.88,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,9,4,0,0,1,0,0,10,0,19,9,0,5,0,0
 24-34,0,0,0,0.82,4.1,0,0,1.64,0,1.64,1.64,3.28,0,0.82,0.82,0,0,0,0.82,1.64,18.06,0,0,9.03,13.13,3.28,0.82,1.64,0,0,0,0,2.46,1.64,8.21,0,13.95,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,0.81,0,1.61,8.06,0,0.81,0.81,0,0.81,0,0,0.81,23.36,0,1.61,4.83,20.95,2.42,0.81,0,0,0,0,0,0.81,0,8.06,0,8.06,0,0
 48-58,0,0,0,0,0.57,0.57,0,1.72,0,1.72,2.3,16.64,0.57,1.15,0.57,0,0.57,0,0.57,1.72,22.95,0,0,6.89,14.92,1.15,0,0,0,0,1.72,0,2.3,0,9.75,0,6.89,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,12.76,0,0.98,3.93,42.21,1.96,0,6.87,0,0,0.98,1.96,0,36.32,0,1.96,4.91,11.78,0.98,0,0,0,0,0,0,0,0,5.89,0,5.89,0,2.94
 72-82,0,0,0,0,2.94,17.67,0,38.28,0,2.94,1.96,65.77,1.96,2.94,3.93,0,0,0.98,2.94,0.98,59.88,0.98,2.94,2.94,18.65,0.98,0.98,1.96,0,0.98,0.98,0,0.98,0,4.91,1.96,16.69,0.98,2.94
 84-94,0,0,0,0,5.31,16.99,0,46.73,1.06,0,2.12,45.67,3.19,2.12,9.56,0,1.06,0,5.31,0,33.99,0,0,4.25,8.5,0,1.06,1.06,0,1.06,0,0,4.25,0,3.19,1.06,10.62,2.12,1.06
 96-106,0,0,1.09,0,6.56,20.76,1.09,66.66,0,2.19,1.09,59.01,5.46,1.09,8.74,0,0,2.19,5.46,0,28.41,1.09,2.19,0,20.76,0,2.19,1.09,0,0,0,0,2.19,0,8.74,2.19,18.58,1.09,2.19
108-118,0,0,0,0.77,8.43,6.89,0,81.96,0,0,0.77,58.21,2.3,0.77,13.02,0,6.89,1.53,13.02,1.53,29.87,0,0.77,2.3,8.43,0,0.77,1.53,0,3.06,1.53,0,5.36,0,3.06,0.77,16.09,0.77,1.53
120,0,0,3.92,0,5.88,13.72,1.96,52.91,0,0,3.92,56.83,7.84,0,9.8,1.96,5.88,0,23.52,0,35.28,0,1.96,1.96,23.52,0,0,3.92,0,0,3.92,0,7.84,0,0,1.96,7.84,0,0
