stage,blastomeres,eye,fast_muscle,fin_epithelia,glial,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
 24-34,0,1.64,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,2.46,0,0
 36-46,0,0.81,0,0,0,0,0.81,0.81,0.81,16.11,0,0,0.81,0,0,8.86,0,0
 48-58,0,1.15,0,0,1.15,1.15,2.3,0,0,26.97,0,0,0,0,0,3.44,0,0
 60-70,0,1.96,0,0,0.98,0,3.93,0,0,41.22,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0.98,0,0,10.8,0,0,41.23,0,0.98,0,0,0,3.93,0,0.98
 84-94,0,1.06,0,0,0,0,5.31,0,0,18.05,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,0,0,2.19,0,8.74,0,0,16.39,0,0,0,1.09,0,1.09,1.09,0
108-118,0,1.53,0,0,0,0,3.83,0,0,22.21,0,0,0,0,0,0,0,0.77
120,0,5.88,0,0,0,0,7.84,0,0,17.64,0,0,0,0,0,3.92,0,0
