stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0.57,0.57,0,0.57,2.3,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,9.82,0,0,1.96,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0.98,0,34.36,0,0,7.85,0,0,0,0,0,0,0.98,0.98,0,0.98
 84-94,0,0,0,0,1.06,0,3.19,0,0,1.06,0,46.73,0,0,1.06,1.06,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,34.97,1.09,0,7.65,0,0,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0,1.53,0.77,0.77,0,0,0,0,26.04,0,0.77,2.3,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,41.16,0,0,5.88,3.92,0,1.96,0,1.96,0,1.96,0,0,0
