stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,110.41,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,53.5,0,22.03,0,0,0,135.32,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,2498.69,12.59,0,0,107,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,87,3,0,65,0,1,0,34,0,0,1,0,0,3,0,0,7,1,0,4,4324,4,5,12,4,1,0,10,4,1,11,794,0,0,0,0,0
 24-34,0,0,0,0.82,21.34,0.82,0,16.42,0,0,0.82,37.76,1.64,0,0.82,0.82,1.64,55,1.64,0.82,6.57,0,0,6.57,3542.81,0.82,44.33,23.8,0,4.93,0,0.82,0.82,0,4.1,746.98,0,0,3.28,0,4.1
 36-46,0,0,0,0,8.06,0,0,12.89,0,0,0,60.43,0,0,0.81,0.81,0,55.59,0,2.42,2.42,0.81,0,0.81,1693.52,0,19.34,22.56,0,5.64,0,0,0,0,0,380.28,0,0,1.61,0,7.25
 48-58,0,0,0,0,5.16,0.57,0,22.95,0,0,0.57,142.88,0,0,0,0,0,44.76,0,3.44,5.74,0,0,0,390.76,0,16.07,21.8,0,1.15,0,0,0,0,0,139.43,0,0,0.57,0,8.61
 60-70,0,0,0,0,3.93,0,0,7.85,0.98,0,0.98,113.86,0,0,0,0.98,0,50.06,0,6.87,3.93,0,0,0,70.67,0.98,11.78,18.65,0,0,0,0,0,0,0,29.45,0.98,0,0,0,7.85
 72-82,0,0,0,0,2.94,0.98,0,14.72,0,0,0,117.8,1.96,0,0,0,0.98,76.57,0,0.98,2.94,0.98,0,0,58.9,0.98,13.74,27.49,0,0,0,0,0,0,0,14.72,0,0,1.96,0.98,2.94
 84-94,0,0,0,0,8.5,6.37,0,16.99,0,0,0,64.78,0,0,0,0,0,112.58,0,2.12,2.12,0,1.06,0,46.73,0,26.55,24.43,0,1.06,0,0,0,0,0,13.81,1.06,0,1.06,0,3.19
 96-106,0,0,2.19,0,8.74,1.09,1.09,17.49,0,1.09,0,75.41,1.09,0,0,1.09,0,145.35,1.09,2.19,1.09,0,0,0,40.44,1.09,29.51,20.76,0,1.09,0,0,0,0,0,8.74,0,0,0,0,4.37
108-118,0,0,0,0,3.83,13.79,0,8.43,0,0,0.77,57.45,0,0,0,0,0,96.51,0.77,3.06,4.6,0,0,0.77,49.79,0,21.45,23.74,0,1.53,0,0,0,0.77,0,3.83,0.77,0.77,0.77,0,9.96
120,0,0,0,0,0,27.44,0,3.92,0,0,0,70.55,1.96,0,0,0,0,64.67,3.92,0,0,0,0,0,64.67,0,17.64,21.56,0,1.96,0,0,0,0,0,3.92,0,0,0,0,3.92
