stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,13.13,0.82,0,0,2.46,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,1.61,0,0,0.81,35.45,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,4.02,0.57,0,0.57,0,1.15,0,0.57,0,61.97,0,0,0,3.44,0,0,0
 60-70,0,0,0,0,19.63,0,0,5.89,0.98,5.89,0,1.96,0,106.99,0,0.98,0.98,9.82,0,3.93,0
 72-82,0,0,0,0,24.54,0,0,5.89,0.98,6.87,0,1.96,0.98,101.11,0,0,0,2.94,0.98,2.94,0
 84-94,0,0,0,0,20.18,0,1.06,6.37,0,12.74,0,4.25,0,29.74,0,0,0,5.31,0,1.06,1.06
 96-106,0,0,0,0,10.93,0,0,8.74,2.19,9.84,1.09,1.09,0,38.25,0,0,0,0,0,4.37,0
108-118,0,0,0,0.77,6.89,0,0,6.13,0,6.13,0,2.3,0.77,30.64,0,0,0,0.77,0,2.3,0
120,0,0,0,1.96,13.72,0,0,1.96,0,19.6,1.96,0,0,23.52,0,0,0,0,0,0,0
