stage,eye,fin.epithelia,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,presomitic.mesoderm,slow.muscle,spinal.cord,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,1,1,0,1,5,1,0
 24-34,0,0,0,0,0,0,0.82,2.46,0,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,2.87,0,0,1.15,0,0,0,0,0,0
 60-70,0.98,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,1.96,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0
 84-94,0,0,1.06,0,5.31,0,0,3.19,0,1.06,0,0,0,0
 96-106,0,1.09,0,1.09,1.09,2.19,0,1.09,0,0,0,0,0,1.09
108-118,1.53,0,0,0,3.06,0.77,0,1.53,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
