stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17,1,0,0,2,0,7,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,1.64,0,0,0,0,0.82,0,0,41.86,0,0,0.82,0,0,9.85,0,0,0,0
 36-46,0,0,0.81,0,9.67,0,0,0.81,0,0,0,0,6.45,0,0.81,45.92,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,0.57,0,9.18,0,0,2.3,0,0,0,0.57,5.16,0,1.15,60.25,0,0,0,0,0,4.59,0,0.57,0,0.57
 60-70,0,0,0,0,16.69,0,0.98,2.94,0,0.98,0,0,3.93,0,0,116.8,0,0.98,0,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,14.72,0.98,0,4.91,0.98,0.98,0,0,3.93,0,0,173.75,0,0,0.98,0,2.94,0.98,0.98,0,0,0
 84-94,0,0,2.12,0,14.87,0,0,3.19,0,1.06,0,0,2.12,0,0,86.03,1.06,1.06,0,0,2.12,1.06,1.06,1.06,0,0
 96-106,0,0,1.09,0,6.56,0,0,3.28,0,0,1.09,0,2.19,1.09,0,100.54,1.09,0,0,0,2.19,0,1.09,1.09,1.09,0
108-118,0,0,0.77,0.77,12.26,0,0,3.06,0.77,0,0,0,3.06,0.77,0.77,107.23,0,0,0,0,0.77,0.77,1.53,0.77,0,0
120,0,0,0,0,13.72,1.96,1.96,1.96,0,0,0,0,1.96,0,1.96,201.86,0,0,0,0,1.96,3.92,0,0,0,0
