stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,36.78,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,23.66,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,18.88,0,0,9.44,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,0,11,18,21,13,0,0,0,1,3,0,0,0,0,0,0,0,1,5,0,0,10,119,1,2,0,1,0,0,0,3,0,4,20,0,0,0,0
 24-34,0,0,0,13.13,7.39,4.93,10.67,0,0,0,0.82,1.64,0,4.1,0,0,0,0,2.46,0,10.67,0.82,0,4.1,88.65,0.82,0.82,0.82,0,0,0,0,0,0,0.82,18.88,0,0,0,2.46
 36-46,0,0,0,1.61,0.81,0,3.22,0,0,0.81,1.61,0.81,0,6.45,0,0,0,0,0.81,0.81,11.28,0,0,5.64,37.87,0,0,0,0,0.81,0,0,0,0,0,12.09,0.81,0,0,1.61
 48-58,0,0,0,0,0,0,1.72,0,0.57,0,1.72,0,0,2.87,0,0,0,0,0.57,0,7.46,0,1.72,1.15,14.35,0,0,1.15,0,0,0,0,0,0,0,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,1.96,5.89,0.98,0,0.98,0,0.98,0,0,0,0,14.72,0,0.98,3.93,8.83,0,0,0,0,2.94,0,0,0,0,0,0.98,0,1.96,0.98,0
 72-82,0,0,0.98,0,0,0,4.91,0.98,0.98,0,11.78,2.94,0,0.98,0,0,0,0,0,0,11.78,0,4.91,1.96,11.78,0,0,0,0,0.98,0,0,0,0,0,0.98,0,4.91,1.96,0
 84-94,0,0,1.06,0,2.12,0,6.37,0,0,0,2.12,2.12,0,2.12,0,0,0,0,0,0,3.19,0,3.19,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,2.12,3.19,0
 96-106,0,0,0,0,4.37,1.09,4.37,0,5.46,0,4.37,4.37,0,3.28,2.19,0,0,0,0,0,6.56,0,7.65,1.09,14.21,0,0,1.09,0,1.09,0,0,0,0,0,0,0,2.19,4.37,0
108-118,0,0,0,0,14.55,0.77,1.53,0,7.66,0,4.6,9.19,0,2.3,0.77,0,4.6,0.77,0,0.77,3.06,0,5.36,1.53,7.66,0,0,0,0,1.53,0,0,0,0,0,0,0,3.83,7.66,0
120,0,0,0,0,9.8,3.92,0,0,1.96,0,3.92,9.8,0,0,0,0,0,0,0,0,0,0,1.96,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0
