stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,hatching.gland,immune,liver,mesenchyme,mural.cell,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,45.97,0,0.82,0,3.28,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,65.26,0,0.81,0,4.03,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,2.87,0.57,0,71.73,0,0,0,3.44,0,0,0,0,0.57,0
 60-70,0,0,0,0,40.24,0,0,98.15,0,0.98,0,2.94,0,0,0,0,0,0
 72-82,0,0,0.98,0,72.64,1.96,0,104.06,0.98,1.96,0,6.87,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,35.05,3.19,0,155.06,0,0,1.06,6.37,0,0,0,2.12,1.06,2.12
 96-106,0,0,0,0,46.99,4.37,0,187.97,0,1.09,0,5.46,0,0,1.09,0,1.09,4.37
108-118,0,0.77,0,0.77,26.04,0.77,0,126.38,0,0,0,3.83,0,0,0,0,0,6.89
120,0,0,1.96,0,7.84,0,0,156.78,0,0,0,0,0,0,0,0,0,3.92
