stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,34.17,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,31.47,0,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,2,19,6,0,13,0,0,0,2,0,0,0,0,0,0,12,0,0,7,116,0,1,1,1,0,1,0,20,1,0,17,35,0,1,0,0
 24-34,0,0.82,0.82,5.75,0,0,16.42,0,0.82,0.82,1.64,0,1.64,0.82,0,0,0,13.95,0,0,9.03,138.72,3.28,0,0.82,0,0,2.46,0,0,1.64,0,2.46,33.66,0,12.31,0,0.82
 36-46,0,0,0,3.22,0,0,16.11,0,0,0.81,8.06,0,2.42,0,0,0,1.61,24.98,0.81,0,6.45,140.19,2.42,2.42,0.81,0,0,1.61,0,0,2.42,0,0,30.62,0,12.89,0,1.61
 48-58,0,0,0,1.15,0,0,26.4,0,0,0.57,14.35,0,2.87,0,0.57,0,0.57,26.4,0,0,2.3,96.4,0.57,0,1.72,0,0,0,0,0,0,0,0,28.69,0,8.03,0,0
 60-70,0,0,0,4.91,0,0,32.39,0,0.98,0.98,14.72,0,0,0,0,0,0.98,39.26,0.98,0.98,3.93,97.17,0.98,0,0,0,0,0,0,0,0,0,0,20.61,2.94,7.85,0,1.96
 72-82,0,0,0,0.98,0,0,38.28,0,0.98,1.96,21.6,0.98,0.98,0,0,0,0,61.84,0.98,1.96,3.93,79.51,0,3.93,0.98,0,0.98,0.98,0,0,0,0,0,8.83,0,12.76,2.94,0
 84-94,0,0,0,6.37,0,0,33.99,0,1.06,1.06,19.12,0,2.12,0,0,0,0,44.61,0,2.12,4.25,50.98,2.12,1.06,3.19,0,0,2.12,0,0,1.06,0,0,5.31,2.12,18.05,0,1.06
 96-106,0,0,0,8.74,0,0,25.14,1.09,0,1.09,33.88,0,3.28,0,4.37,1.09,0,40.44,1.09,0,6.56,41.53,3.28,1.09,4.37,0,0,4.37,0,0,1.09,0,0,5.46,0,22.95,1.09,0
108-118,0,0,0,13.02,0,1.53,22.98,0,3.06,0,20.68,0,0,0,2.3,0,0.77,46.72,1.53,0.77,3.83,60.51,3.06,3.83,2.3,0,0.77,2.3,0,0,1.53,0.77,0,3.83,0.77,11.49,1.53,0
120,0,0,0,7.84,0,0,11.76,0,1.96,0,15.68,0,3.92,0,0,0,0,21.56,1.96,0,11.76,39.2,3.92,0,0,0,0,0,0,0,1.96,0,0,5.88,1.96,0,0,0
