stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,10.51,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,3.28,0,0,0,0.82,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0,5.64,0,0,0.81,0,2.42,0
 48-58,0,0,0,0,0,2.87,0,0.57,0.57,0,0,0,0,0.57,9.75,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,0,0,2.94,0,12.76,0,0,2.94,0,1.96,0
 72-82,0,0,0,0,0.98,3.93,0,0.98,0,0,0,0,2.94,0,24.54,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,4.25,0,19.12,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,18.58,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,16.09,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,35.28,0,0,0,0,0,0
