stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,312.61,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,7.89,2.63,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,94.63,2.63,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,91.26,3.15,0,0,34.62,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,1,0,1,1,0,0
 24-34,0,0,0,1.64,6.57,0,0.82,0,0,0,0,0,0.82,2.46,0,0,1.64,23.8,0,0.82,0,0,0.82,0,0,0,10.67,0,0
 36-46,0,0,0,0.81,3.22,0,0,0,0,0,0,0,0,3.22,0,0,0,13.7,0,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,1.72,12.62,0.57,0.57,0,4.59,0,0,0,0,6.31,0,0.57,1.72,48.2,0,1.72,0.57,0,1.72,0,0,0,6.89,0.57,0
 60-70,0,0,0,0,5.89,0,0,0,0.98,0,0,0.98,0,2.94,0,0,0.98,5.89,0,0.98,0,0,3.93,0,0,0,0.98,0,0
 72-82,0,0,0,0,7.85,0,0,0.98,2.94,0,0,0,0,5.89,0,0,0,12.76,0,0,0,0,0,0,0,0,2.94,0.98,0
 84-94,0,0,0,0,4.25,0,0,0,4.25,0,0,0,0,0,0,0,0,9.56,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,4.37,0,0,0,3.28,0,0,0,0,5.46,0,1.09,0,7.65,0,0,2.19,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
