stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,65.72,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,515.23,0,0,0,173.5,0,0,0,0,0,0,0,0
 10-12,0,0,59.79,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,75.53,3.15,0,6.29,0,0,0,0,0
 14-21,1,0,1,36,1,1,0,0,8,1,2,0,0,0,3,0,1,16,368,0,0,27,1,9,0,1,2,10,1,0
 24-34,0,0,0,10.67,0.82,0.82,0,1.64,0,0,0,0.82,0.82,0.82,2.46,0,1.64,60.74,209.32,1.64,0.82,0,4.1,0,0,0,2.46,14.78,0,0.82
 36-46,0,0,0,1.61,0,8.86,0,0.81,0,0,0,0,0,0,3.22,0,1.61,15.31,74.93,0,0,0,3.22,0,0,0,0,3.22,0.81,0
 48-58,0,0,0,0.57,0,3.44,0.57,0,0,0,0,0,0,0,2.87,1.15,0.57,1.15,9.18,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0,1.96,0,0,0.98,3.93,0,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,4.91,0,0.98,3.93,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,1.06,3.19,0,0,0,0,0,0,0,0,1.06,0,2.12,4.25,3.19,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0.77,0,0,0,0.77,0,0,2.3,0,0,6.13,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0
