stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,4.1,0,0,0,11.49,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0.82,0,1.64,0,0
 36-46,0,0.81,0,0,0,2.42,0,0,1.61,0,0,0,0,1.61,0,0,0.81,0,0,0,0,8.06,0.81,0,0,0,0
 48-58,0,0.57,0,0,0,1.15,0,0,2.3,0,0,0,2.87,0.57,0,0,1.72,0,0,0,0,5.16,0.57,0,0,0,0
 60-70,0,0.98,0,0,0,0,0.98,1.96,1.96,0,0,0.98,20.61,0.98,0,0,3.93,0,0,0,0,5.89,0,0.98,0,0,0
 72-82,0,0.98,0.98,0,3.93,0,2.94,9.82,0.98,0,0,0,121.73,4.91,0.98,0,14.72,0,0,0,0,9.82,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,0,26.55,1.06,0,0,0,361.09,1.06,0,1.06,18.05,0,0,0,0,31.86,1.06,1.06,0,0,1.06
 96-106,0,1.09,1.09,0,10.93,0,3.28,24.04,1.09,2.19,1.09,0,596.69,3.28,0,0,55.74,1.09,1.09,0,4.37,43.71,2.19,0,1.09,0,0
108-118,0,1.53,1.53,0.77,9.96,0.77,4.6,16.85,1.53,0,0.77,0,1152.01,4.6,0,1.53,53.62,0,0.77,0,1.53,42.89,0.77,0,0.77,1.53,0
120,0,0,0,1.96,7.84,0,1.96,13.72,0,0,0,0,515.42,7.84,0,0,33.32,0,0,0,1.96,39.2,0,0,1.96,0,0
