stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,48.43,0.82,0,0,55,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,92.65,0,0,0,54.79,0,0
 48-58,0,0,0,10.9,0,1.15,0,0,1.15,0.57,91.81,0,0,0,56.23,0,0
 60-70,0,0,0,19.63,0.98,1.96,0,0,0,0,136.43,0,0,0,32.39,0.98,0
 72-82,0,0,0.98,34.36,0,2.94,0,0,0.98,0,118.78,0,0,0.98,21.6,0,0
 84-94,0,0,0,15.93,0,5.31,1.06,0,0,0,60.54,0,0,0,7.43,0,0
 96-106,0,1.09,0,17.49,0,0,0,1.09,0,0,57.92,0,0,0,2.19,0,0
108-118,0,1.53,0,19.15,0,2.3,0,0,0,0,55.92,0,0.77,0,0.77,0.77,0.77
120,0,0,0,9.8,0,1.96,0,1.96,0,0,66.63,0,0,0,5.88,0,0
